Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,30.040001,30.219999,29.969999,30.200001,24.004353,28039700
2012-02-07,30.150000,30.490000,30.049999,30.350000,24.123581,39242400
2012-02-08,30.260000,30.670000,30.219999,30.660000,24.369978,49659100
2012-02-09,30.680000,30.799999,30.480000,30.770000,24.457413,50481600
2012-02-10,30.639999,30.799999,30.360001,30.500000,24.242807,44605300
2012-02-13,30.629999,30.770000,30.430000,30.580000,24.306393,33319800
2012-02-14,30.330000,30.459999,29.850000,30.250000,24.202381,59644000
2012-02-15,30.330000,30.389999,30.030001,30.049999,24.042364,43311300
2012-02-16,30.309999,31.549999,30.299999,31.290001,25.034460,94705100
2012-02-17,31.200001,31.320000,30.950001,31.250000,25.002460,70036500
2012-02-21,31.180000,31.610001,31.150000,31.440001,25.154484,50829900
2012-02-22,31.450001,31.680000,31.180000,31.270000,25.018463,49253200
2012-02-23,31.200001,31.590000,31.000000,31.370001,25.098471,35034700
2012-02-24,31.480000,31.500000,31.240000,31.480000,25.186480,35575400
2012-02-27,31.240000,31.500000,31.100000,31.350000,25.082474,34568400
2012-02-28,31.410000,31.930000,31.379999,31.870001,25.498508,45230600
2012-02-29,31.889999,32.000000,31.610001,31.740000,25.394503,59323600
2012-03-01,31.930000,32.389999,31.850000,32.290001,25.834547,77344100
2012-03-02,32.310001,32.439999,32.000000,32.080002,25.666534,47314200
2012-03-05,32.009998,32.049999,31.620001,31.799999,25.442499,45240000
2012-03-06,31.540001,31.980000,31.490000,31.559999,25.250481,51932900
2012-03-07,31.670000,31.920000,31.530001,31.840000,25.474508,34340400
2012-03-08,32.040001,32.209999,31.900000,32.009998,25.610519,36747400
2012-03-09,32.099998,32.160000,31.920000,31.990000,25.594524,34628400
2012-03-12,31.969999,32.200001,31.820000,32.040001,25.634520,34073600
2012-03-13,32.240002,32.689999,32.150002,32.669998,26.138569,48951700
2012-03-14,32.529999,32.880001,32.490002,32.770000,26.218580,41986900
2012-03-15,32.790001,32.939999,32.580002,32.849998,26.282587,49068300
2012-03-16,32.910000,32.950001,32.500000,32.599998,26.082556,65626400
2012-03-19,32.540001,32.610001,32.150002,32.200001,25.762535,44789200
2012-03-20,32.099998,32.150002,31.740000,31.990000,25.594524,41566800
2012-03-21,31.959999,32.150002,31.820000,31.910000,25.530508,37928600
2012-03-22,31.809999,32.090000,31.790001,32.000000,25.602526,31749500
2012-03-23,32.099998,32.110001,31.719999,32.009998,25.610519,35912200
2012-03-26,32.189999,32.610001,32.150002,32.590000,26.074568,36758300
2012-03-27,32.650002,32.700001,32.400002,32.520000,26.018564,36274900
2012-03-28,32.520000,32.700001,32.040001,32.189999,25.754538,41344800
2012-03-29,32.060001,32.189999,31.809999,32.119999,25.698526,37038500
2012-03-30,32.400002,32.410000,32.040001,32.259998,25.810539,31749400
2012-04-02,32.220001,32.459999,31.950001,32.290001,25.834547,35853600
2012-04-03,32.160000,32.189999,31.660000,31.940001,25.554514,42752100
2012-04-04,31.660000,31.690001,31.049999,31.209999,24.970455,49455900
2012-04-05,31.150000,31.629999,31.049999,31.520000,25.218479,50368600
2012-04-09,31.219999,31.400000,30.969999,31.100000,24.882452,31056400
2012-04-10,31.059999,31.190001,30.299999,30.469999,24.378399,54131300
2012-04-11,30.430000,30.530001,30.230000,30.350000,24.282389,43014000
2012-04-12,30.480000,31.040001,30.420000,30.980000,24.786434,38304000
2012-04-13,30.889999,31.160000,30.719999,30.809999,24.650427,39749200
2012-04-16,30.990000,31.190001,30.770000,31.080000,24.866444,38124800
2012-04-17,31.270000,31.610001,31.200001,31.440001,25.154484,34361500
2012-04-18,31.280001,31.309999,31.040001,31.139999,24.914455,40552900
2012-04-19,31.129999,31.680000,30.940001,31.010000,24.810442,54781200
2012-04-20,32.150002,32.889999,32.049999,32.419998,25.938551,106045000
2012-04-23,32.310001,32.500000,32.029999,32.119999,25.698526,61398200
2012-04-24,32.209999,32.520000,31.830000,31.920000,25.538515,40871100
2012-04-25,31.920000,32.320000,31.870001,32.200001,25.762535,62495500
2012-04-26,32.119999,32.230000,31.920000,32.110001,25.690527,40308100
2012-04-27,32.119999,32.220001,31.879999,31.980000,25.586515,41419100
2012-04-30,31.980000,32.110001,31.920000,32.020000,25.618525,35697200
2012-05-01,32.049999,32.340000,31.950001,32.009998,25.610519,43832300
2012-05-02,31.850000,31.930000,31.639999,31.799999,25.442499,37385300
2012-05-03,31.879999,31.900000,31.610001,31.760000,25.410505,31501300
2012-05-04,31.450001,31.570000,30.920000,30.980000,24.786434,57927200
2012-05-07,30.700001,30.860001,30.570000,30.650000,24.522409,48641400
2012-05-08,30.480000,30.780001,30.170000,30.500000,24.402399,46328300
2012-05-09,30.190001,30.830000,30.100000,30.760000,24.610418,50309300
2012-05-10,30.860001,31.020000,30.450001,30.740000,24.594416,43839200
2012-05-11,30.690001,31.540001,30.690001,31.160000,24.930452,43459300
2012-05-14,30.820000,31.040001,30.639999,30.680000,24.546421,40528900
2012-05-15,30.639999,30.799999,30.150000,30.209999,24.328983,61822800
2012-05-16,30.309999,30.320000,29.740000,29.900000,24.079327,60083700
2012-05-17,29.990000,30.209999,29.709999,29.719999,23.934361,48484000
2012-05-18,29.790001,29.809999,29.170000,29.270000,23.571970,56205300
2012-05-21,29.100000,29.790001,29.059999,29.750000,23.958529,38787900
2012-05-22,29.690001,29.879999,29.500000,29.760000,23.966574,39504900
2012-05-23,29.350000,29.400000,28.639999,29.110001,23.443117,65171000
2012-05-24,29.160000,29.299999,28.760000,29.070000,23.410904,52575000
2012-05-25,29.200001,29.360001,29.010000,29.059999,23.402853,29507200
2012-05-29,29.379999,29.719999,29.219999,29.559999,23.805513,37758800
2012-05-30,29.350000,29.480000,29.120001,29.340000,23.628336,41585500
2012-05-31,29.299999,29.420000,28.940001,29.190001,23.507551,39134000
2012-06-01,28.760000,28.959999,28.440001,28.450001,22.911598,56634300
2012-06-04,28.620001,28.780001,28.320000,28.549999,22.992134,47926300
2012-06-05,28.510000,28.750000,28.389999,28.510000,22.959917,45715400
2012-06-06,28.879999,29.370001,28.809999,29.350000,23.636391,46860500
2012-06-07,29.639999,29.700001,29.170000,29.230000,23.539753,37792800
2012-06-08,29.209999,29.680000,29.049999,29.650000,23.877993,42551100
2012-06-11,29.730000,29.809999,28.820000,28.900000,23.273998,46361900
2012-06-12,29.100000,29.299999,28.840000,29.290001,23.588072,35337900
2012-06-13,29.219999,29.440001,29.049999,29.129999,23.459221,32984600
2012-06-14,29.330000,29.459999,28.879999,29.340000,23.628336,39458900
2012-06-15,29.590000,30.080000,29.490000,30.020000,24.175966,62314400
2012-06-18,29.990000,30.030001,29.709999,29.840000,24.031002,58679900
2012-06-19,30.190001,31.110001,30.049999,30.700001,24.723583,75725800
2012-06-20,30.930000,31.049999,30.639999,30.930000,24.908817,36257100
