Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,18.719999,19.240000,18.580000,19.219999,15.732409,2017600
2012-02-07,19.100000,19.200001,18.940001,19.100000,15.634188,1801300
2012-02-08,19.080000,19.360001,18.959999,19.180000,15.699670,1747850
2012-02-09,19.200001,19.440001,19.080000,19.299999,15.797892,1439450
2012-02-10,19.080000,19.639999,19.000000,19.620001,16.059830,2292100
2012-02-13,19.820000,19.980000,19.600000,19.920000,16.305393,2498100
2012-02-14,19.820000,20.080000,19.680000,19.980000,16.354504,3555900
2012-02-15,20.040001,20.120001,19.799999,20.059999,16.419987,2503500
2012-02-16,20.160000,20.799999,20.120001,20.700001,16.943855,2721200
2012-02-17,20.780001,20.879999,20.459999,20.680000,16.927485,2339250
2012-02-21,20.680000,20.860001,20.360001,20.620001,16.878372,2464550
2012-02-22,20.719999,20.940001,20.440001,20.559999,16.829260,1832050
2012-02-23,22.020000,23.760000,21.760000,23.400000,19.153923,7647950
2012-02-24,23.740000,24.340000,23.740000,24.020000,19.661421,6541850
2012-02-27,24.180000,24.299999,23.420000,23.660000,19.366745,7162150
2012-02-28,23.639999,23.740000,21.780001,22.040001,18.040703,6394150
2012-02-29,21.480000,21.480000,20.120001,20.600000,16.862001,7800600
2012-03-01,20.600000,21.820000,20.299999,21.740000,17.795139,6815850
2012-03-02,21.340000,21.480000,20.860001,21.120001,17.287643,3954450
2012-03-05,20.360001,20.520000,19.700001,19.920000,16.305393,4224400
2012-03-06,19.500000,19.620001,19.139999,19.299999,15.797892,3025200
2012-03-07,19.400000,20.340000,19.240000,19.700001,16.125313,3947650
2012-03-08,19.959999,20.020000,19.559999,19.940001,16.321762,2439100
2012-03-09,19.980000,20.379999,19.959999,20.340000,16.649179,2299050
2012-03-12,20.340000,20.420000,19.520000,19.660000,16.092569,1514200
2012-03-13,19.840000,20.200001,19.740000,19.980000,16.354504,1789750
2012-03-14,19.940001,20.160000,19.360001,19.559999,16.010715,1970150
2012-03-15,19.680000,20.260000,19.440001,19.879999,16.272648,1491450
2012-03-16,19.980000,20.379999,19.740000,20.200001,16.534584,1779750
2012-03-19,19.980000,20.340000,19.820000,20.000000,16.370874,1249200
2012-03-20,19.959999,20.040001,19.639999,19.840000,16.239906,1318450
2012-03-21,19.920000,19.980000,19.600000,19.620001,16.059830,1116600
2012-03-22,19.500000,19.760000,19.340000,19.500000,15.961603,893550
2012-03-23,19.600000,19.600000,19.100000,19.200001,15.716042,1537700
2012-03-26,19.440001,19.620001,19.260000,19.559999,16.010715,1801450
2012-03-27,19.559999,19.660000,18.580000,18.660000,15.274027,3016950
2012-03-28,18.660000,19.160000,18.520000,18.719999,15.323137,1816900
2012-03-29,18.700001,18.879999,18.120001,18.480000,15.126688,2923050
2012-03-30,18.639999,18.700001,17.879999,18.040001,14.766530,2325750
2012-04-02,18.020000,18.320000,17.920000,18.219999,14.913866,1708650
2012-04-03,18.320000,18.620001,18.080000,18.420000,15.077575,2104150
2012-04-04,18.180000,18.240000,17.680000,17.879999,14.635560,1790100
2012-04-05,17.740000,18.000000,17.639999,17.700001,14.488225,1168000
2012-04-09,17.120001,17.260000,16.820000,17.040001,13.947985,2392000
2012-04-10,16.959999,17.280001,16.559999,16.600000,13.587826,1514500
2012-04-11,16.820000,17.480000,16.820000,17.139999,14.029840,2918750
2012-04-12,17.240000,17.480000,17.139999,17.240000,14.111694,1264900
2012-04-13,17.160000,17.180000,16.760000,16.799999,13.751534,1331700
2012-04-16,16.980000,17.120001,16.500000,16.580000,13.571457,1411150
2012-04-17,16.719999,17.080000,16.540001,16.559999,13.555085,1870050
2012-04-18,16.559999,16.580000,15.900000,15.980000,13.080328,3024850
2012-04-19,16.000000,16.520000,15.960000,16.280001,13.325893,2073350
2012-04-20,16.360001,16.500000,16.080000,16.080000,13.162184,2154500
2012-04-23,15.920000,16.180000,15.620000,15.880000,12.998475,3302250
2012-04-24,15.960000,16.059999,15.740000,15.920000,13.031217,4632300
2012-04-25,16.180000,16.200001,15.700000,15.880000,12.998475,3627300
2012-04-26,13.620000,14.700000,13.580000,14.160000,11.590580,10561000
2012-04-27,14.160000,14.180000,13.880000,14.020000,11.475984,5586950
2012-04-30,13.800000,14.740000,13.700000,14.600000,11.950739,4904550
2012-05-01,14.520000,14.680000,14.240000,14.260000,11.672433,4429750
2012-05-02,14.120000,14.240000,14.000000,14.100000,11.541467,2166950
2012-05-03,14.100000,14.100000,13.580000,13.800000,11.295904,3075150
2012-05-04,13.760000,13.780000,13.260000,13.300000,10.886632,3806050
2012-05-07,13.260000,13.540000,12.880000,13.360000,10.935744,2940950
2012-05-08,13.180000,13.200000,12.760000,13.120000,10.739294,4041500
2012-05-09,12.880000,16.900000,12.640000,15.000000,12.278156,16497200
2012-05-10,15.200000,15.200000,14.020000,14.120000,11.557837,6388550
2012-05-11,14.080000,14.560000,14.000000,14.080000,11.525095,4147550
2012-05-14,13.900000,13.920000,13.340000,13.460000,11.017599,2812200
2012-05-15,13.280000,13.460000,12.720000,12.900000,10.559215,2375550
2012-05-16,12.940000,13.640000,12.840000,13.060000,10.690182,4564950
2012-05-17,13.060000,13.280000,12.600000,12.740000,10.428247,2782550
2012-05-18,12.800000,12.980000,12.560000,12.780000,10.460989,2525150
2012-05-21,12.780000,12.980000,12.720000,12.820000,10.493731,1354650
2012-05-22,12.840000,13.320000,12.740000,12.840000,10.510101,2007200
2012-05-23,12.740000,12.920000,12.540000,12.860000,10.526471,2268000
2012-05-24,12.780000,12.940000,12.640000,12.880000,10.542844,2041600
2012-05-25,12.860000,13.220000,12.800000,13.040000,10.673810,1309100
2012-05-29,13.140000,13.200000,13.020000,13.120000,10.739294,1847800
2012-05-30,13.020000,13.040000,12.500000,12.660000,10.362763,1635400
2012-05-31,12.680000,13.060000,12.320000,12.800000,10.477361,3406950
2012-06-01,12.280000,12.560000,12.200000,12.380000,10.133572,2075100
2012-06-04,12.380000,12.500000,12.040000,12.160000,9.953491,1515350
2012-06-05,12.160000,12.520000,12.160000,12.320000,10.084459,2063900
2012-06-06,12.400000,12.660000,12.360000,12.420000,10.166313,2063350
2012-06-07,12.600000,12.980000,12.360000,12.460000,10.199055,3458250
2012-06-08,12.400000,12.560000,12.160000,12.300000,10.068089,3060300
2012-06-11,12.440000,12.560000,11.940000,12.000000,9.822524,2004350
2012-06-12,12.060000,12.240000,11.980000,12.100000,9.904380,3611350
2012-06-13,12.060000,12.160000,11.740000,11.800000,9.658816,3066250
2012-06-14,11.780000,11.800000,11.480000,11.600000,9.495107,3348000
2012-06-15,11.460000,11.960000,11.460000,11.960000,9.789783,2998400
2012-06-18,11.840000,11.940000,11.300000,11.540000,9.445995,2818050
2012-06-19,11.500000,11.900000,11.480000,11.820000,9.675186,2122050
2012-06-20,11.840000,12.000000,11.600000,11.960000,9.789783,2560400
2012-06-21,11.980000,12.020000,11.740000,11.880000,9.724299,3213900
2012-06-22,11.960000,12.000000,11.800000,11.800000,9.658816,4439500
2012-06-25,11.640000,11.780000,11.300000,11.580000,9.478737,1853400
2012-06-26,11.460000,11.600000,11.060000,11.180000,9.151320,2748550
2012-06-27,11.280000,11.560000,11.240000,11.340000,9.282287,6059550
2012-06-28,11.240000,11.640000,11.240000,11.420000,9.347769,6058550
2012-06-29,11.780000,12.400000,11.580000,12.100000,9.904380,3870450
2012-07-02,12.140000,12.740000,12.140000,12.720000,10.411877,2968450
2012-07-03,12.700000,13.260000,12.580000,13.140000,10.755665,2151150
2012-07-05,13.080000,13.120000,12.560000,12.860000,10.526471,2863550
2012-07-06,12.640000,12.920000,12.500000,12.820000,10.493731,2416900
2012-07-09,12.700000,12.780000,12.460000,12.640000,10.346393,1904500
2012-07-10,12.700000,13.300000,12.640000,12.960000,10.608327,2808700
2012-07-11,12.940000,13.300000,12.900000,13.100000,10.722922,2452400
2012-07-12,12.800000,12.800000,12.280000,12.460000,10.199055,2697300
2012-07-13,12.480000,12.680000,12.400000,12.600000,10.313652,2099550
2012-07-16,12.500000,12.860000,12.260000,12.720000,10.411877,2268850
2012-07-17,12.840000,13.240000,12.760000,13.140000,10.755665,2369300
2012-07-18,13.100000,13.420000,12.980000,13.100000,10.722922,2369600
2012-07-19,13.140000,13.300000,13.020000,13.100000,10.722922,1589800
2012-07-20,12.980000,13.080000,12.760000,12.820000,10.493731,1980600
2012-07-23,12.520000,12.680000,12.240000,12.480000,10.215425,2138300
2012-07-24,12.920000,13.420000,12.920000,13.180000,10.788406,3156150
2012-07-25,13.180000,13.260000,12.540000,12.560000,10.280910,4210100
2012-07-26,14.440000,17.500000,14.400000,17.180000,14.062582,16323650
2012-07-27,17.500000,18.320000,16.959999,18.080000,14.799272,10692100
2012-07-30,18.080000,18.299999,17.200001,17.799999,14.570078,4451650
2012-07-31,17.820000,18.100000,16.959999,17.520000,14.340886,4855400
2012-08-01,17.660000,18.040001,17.520000,17.620001,14.422741,2721600
2012-08-02,17.440001,17.580000,17.040001,17.240000,14.111694,2292400
2012-08-03,17.480000,17.559999,17.240000,17.320000,14.177176,2087900
2012-08-06,17.420000,17.660000,17.280001,17.580000,14.389997,2168750
2012-08-07,17.260000,17.740000,17.080000,17.340000,14.193549,3271400
2012-08-08,17.240000,17.780001,17.180000,17.459999,14.291774,3395150
2012-08-09,17.320000,17.860001,17.260000,17.559999,14.373629,2463650
2012-08-10,17.440001,18.059999,17.379999,18.059999,14.782899,3177350
2012-08-13,18.020000,18.719999,17.840000,18.160000,14.864754,3420650
2012-08-14,18.320000,18.420000,17.959999,18.360001,15.028463,2622250
2012-08-15,18.299999,19.639999,18.240000,19.580000,16.027086,3782950
2012-08-16,19.559999,19.559999,18.500000,19.080000,15.617815,4731350
2012-08-17,19.200001,20.260000,19.139999,20.059999,16.419987,5223450
2012-08-20,20.000000,20.340000,19.420000,19.820000,16.223537,3262350
2012-08-21,19.980000,20.360001,19.980000,20.299999,16.616438,3148250
2012-08-22,20.080000,20.160000,19.020000,19.420000,15.896120,4986000
2012-08-23,19.420000,19.700001,19.139999,19.440001,15.912491,2822900
2012-08-24,19.340000,19.780001,19.059999,19.639999,16.076200,2511700
2012-08-27,19.700001,19.719999,19.360001,19.500000,15.961603,2376850
2012-08-28,19.379999,19.719999,19.299999,19.340000,15.830636,5255600
2012-08-29,19.400000,19.580000,19.160000,19.480000,15.945230,1734250
2012-08-30,19.379999,19.440001,19.100000,19.299999,15.797892,1938150
2012-08-31,19.440001,19.660000,19.200001,19.459999,15.928862,2136450
2012-09-04,19.400000,19.940001,19.280001,19.760000,16.174423,2522800
2012-09-05,19.740000,19.900000,19.559999,19.680000,16.108942,2192350
2012-09-06,19.900000,20.520000,19.820000,20.120001,16.469101,4139500
2012-09-07,19.639999,20.379999,19.360001,19.940001,16.321762,3765000
2012-09-10,19.860001,20.200001,19.520000,19.540001,15.994346,2131100
2012-09-11,19.639999,20.200001,19.540001,20.120001,16.469101,2017700
2012-09-12,20.240000,20.879999,20.180000,20.620001,16.878372,2317650
2012-09-13,20.340000,21.100000,20.180000,20.959999,17.156675,2039000
2012-09-14,21.040001,21.600000,21.040001,21.260000,17.402241,2100050
2012-09-17,21.240000,21.379999,21.000000,21.320000,17.451353,3084900
2012-09-18,21.240000,21.480000,20.700001,21.480000,17.582319,3555400
2012-09-19,21.360001,22.740000,21.360001,22.600000,18.499088,8044400
2012-09-20,22.299999,22.940001,21.639999,22.379999,18.319008,6017450
2012-09-21,23.160000,24.959999,22.740000,23.260000,19.039330,10619500
2012-09-24,23.100000,23.840000,22.799999,23.559999,19.284889,3696750
2012-09-25,23.639999,23.680000,23.040001,23.080000,18.891991,2975350
2012-09-26,23.020000,23.120001,22.160000,22.500000,18.417234,3960250
2012-09-27,22.700001,24.700001,22.660000,23.900000,19.563196,5598500
2012-09-28,23.900000,23.900000,23.400000,23.420000,19.170294,3556450
2012-10-01,23.500000,23.660000,22.900000,23.040001,18.859249,3467900
2012-10-02,23.219999,29.020000,22.959999,27.139999,22.215277,18847250
2012-10-03,26.240000,26.500000,24.000000,24.480000,20.037951,33407900
2012-10-04,24.100000,25.620001,21.920000,25.379999,20.774639,42137250
2012-10-05,25.500000,26.379999,25.219999,25.299999,20.709156,18926750
2012-10-08,25.320000,25.980000,24.820000,25.080000,20.529076,12516350
2012-10-09,25.180000,25.219999,24.879999,25.020000,20.479965,5476950
2012-10-10,24.660000,25.000000,22.059999,24.080000,19.710535,12768300
2012-10-11,22.000000,25.020000,21.840000,23.280001,19.055698,31606600
2012-10-12,23.520000,23.820000,23.000000,23.760000,19.448599,5191650
2012-10-15,23.459999,23.600000,22.440001,22.660000,18.548199,11653700
2012-10-16,22.700001,23.260000,21.940001,22.040001,18.040703,10506200
2012-10-17,22.200001,22.280001,21.600000,21.900000,17.926109,8535750
2012-10-18,21.920000,22.780001,21.700001,22.299999,18.253525,9819550
2012-10-19,22.299999,22.500000,21.920000,21.940001,17.958851,5904100
2012-10-22,21.980000,22.260000,21.879999,22.260000,18.220783,4159000
2012-10-23,21.900000,22.200001,21.379999,21.600000,17.680546,5524000
2012-10-24,21.440001,21.959999,21.379999,21.559999,17.647800,2066600
2012-10-25,21.719999,21.719999,21.340000,21.440001,17.549578,3280200
2012-10-26,21.360001,21.540001,21.059999,21.180000,17.336758,1850250
2012-10-31,21.219999,21.219999,20.100000,20.420000,16.714663,5343850
2012-11-01,20.400000,20.840000,20.340000,20.820000,17.042082,3878350
2012-11-02,20.780001,20.940001,20.320000,20.379999,16.681921,1902850
2012-11-05,20.299999,20.559999,19.959999,20.120001,16.469101,2577950
2012-11-06,20.240000,20.580000,20.139999,20.379999,16.681921,2708300
2012-11-07,20.120001,20.260000,19.639999,19.660000,16.092569,3025850
2012-11-08,20.219999,20.480000,19.879999,19.959999,16.338133,3265750
2012-11-09,19.719999,20.559999,19.600000,20.320000,16.632809,2233250
2012-11-12,20.360001,20.379999,19.920000,20.100000,16.452730,1359100
2012-11-13,19.879999,20.740000,19.840000,20.320000,16.632809,4257250
2012-11-14,20.379999,20.700001,20.200001,20.340000,16.649179,2513500
2012-11-15,20.340000,20.900000,20.080000,20.900000,17.107563,3512950
2012-11-16,20.900000,21.719999,20.660000,21.520000,17.615061,6299000
2012-11-19,22.719999,22.799999,21.500000,22.000000,18.007963,12208800
2012-11-20,21.940001,22.000000,21.040001,21.059999,17.238533,4337250
2012-11-21,21.080000,21.219999,20.820000,21.120001,17.287643,2338000
2012-11-23,21.260000,21.440001,21.200001,21.340000,17.467724,559100
2012-11-26,21.160000,21.340000,20.840000,21.080000,17.254902,1684050
2012-11-27,21.040001,21.360001,21.000000,21.080000,17.254902,1396800
2012-11-28,20.959999,21.020000,20.580000,20.780001,17.009340,2792250
2012-11-29,20.879999,20.959999,20.240000,20.280001,16.600069,4525350
2012-11-30,20.320000,21.420000,20.320000,21.299999,17.434980,9663150
2012-12-03,21.360001,21.799999,21.180000,21.540001,17.631433,2333950
2012-12-04,20.040001,20.240000,19.799999,19.920000,16.305393,8809950
2012-12-05,19.920000,20.420000,19.799999,20.200001,16.534584,5255250
2012-12-06,20.360001,20.760000,20.219999,20.740000,16.976599,3973050
2012-12-07,20.820000,21.400000,20.780001,21.040001,17.222162,4359500
2012-12-10,21.020000,21.040001,20.280001,20.480000,16.763777,4453300
2012-12-11,20.440001,20.559999,19.879999,20.299999,16.616438,6353250
2012-12-12,20.360001,20.440001,19.719999,19.840000,16.239906,5368050
2012-12-13,19.820000,20.320000,19.580000,19.980000,16.354504,4039000
2012-12-14,19.900000,20.400000,19.879999,20.100000,16.452730,1764150
2012-12-17,20.160000,20.219999,19.540001,19.980000,16.354504,2486000
2012-12-18,19.959999,20.000000,19.620001,19.920000,16.305393,4158500
2012-12-19,19.940001,20.059999,19.799999,19.920000,16.305393,2731700
2012-12-20,20.000000,20.180000,19.799999,19.959999,16.338133,2671600
2012-12-21,19.860001,19.860001,19.540001,19.820000,16.223537,3460650
2012-12-24,19.260000,19.840000,19.260000,19.580000,16.027086,1150200
