Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,145.339996,147.449997,144.679993,146.639999,146.639999,1689800
2019-02-05,147.550003,151.570007,146.679993,146.889999,146.889999,2138500
2019-02-06,146.960007,147.270004,143.470001,145.759995,145.759995,1452900
2019-02-07,144.330002,147.669998,143.059998,147.630005,147.630005,1803200
2019-02-08,147.130005,150.000000,147.000000,148.619995,148.619995,1450400
2019-02-11,149.699997,151.929993,149.279999,149.789993,149.789993,1509200
2019-02-12,150.860001,157.550003,150.570007,157.320007,157.320007,4021900
2019-02-13,157.940002,158.669998,154.110001,155.270004,155.270004,2090600
2019-02-14,153.509995,156.419998,152.350006,154.850006,154.850006,1121000
2019-02-15,155.600006,156.229996,150.539993,151.089996,151.089996,1925900
2019-02-19,149.179993,149.800003,145.529999,147.570007,147.570007,2451500
2019-02-20,147.449997,149.509995,147.029999,148.119995,148.119995,1396900
2019-02-21,147.470001,149.110001,147.050003,148.110001,148.110001,977300
2019-02-22,148.699997,149.360001,147.500000,149.259995,149.259995,966400
2019-02-25,150.119995,151.509995,148.050003,148.539993,148.539993,1216900
2019-02-26,148.199997,151.399994,148.190002,150.979996,150.979996,1469000
2019-02-27,150.000000,152.149994,149.050003,150.559998,150.559998,1146300
2019-02-28,150.179993,151.229996,148.529999,150.419998,150.419998,1234600
2019-03-01,152.559998,153.949997,150.190002,151.380005,151.380005,1671900
2019-03-04,152.100006,152.889999,146.460007,147.779999,147.779999,1450000
2019-03-05,148.070007,149.679993,147.449997,148.899994,148.899994,983300
2019-03-06,149.600006,150.229996,147.660004,149.089996,149.089996,805300
2019-03-07,148.369995,148.919998,146.419998,147.699997,147.699997,1465100
2019-03-08,146.009995,146.619995,141.779999,142.509995,142.509995,2785400
2019-03-11,143.000000,145.539993,142.350006,145.289993,145.289993,2086500
2019-03-12,145.279999,146.059998,142.669998,145.789993,145.789993,2090100
2019-03-13,146.149994,147.710007,145.250000,145.410004,145.410004,1309800
2019-03-14,145.089996,145.089996,141.009995,144.179993,144.179993,2284200
2019-03-15,145.229996,145.479996,141.550003,141.789993,141.789993,2251100
2019-03-18,141.649994,144.490005,141.509995,144.330002,144.330002,1587700
2019-03-19,144.660004,146.300003,143.770004,144.990005,144.990005,1176500
2019-03-20,145.419998,145.500000,142.130005,144.350006,144.350006,1267900
2019-03-21,144.639999,149.550003,144.539993,148.910004,148.910004,1672900
2019-03-22,145.729996,147.630005,142.240005,143.210007,143.210007,2644600
2019-03-25,142.910004,147.369995,141.339996,146.580002,146.580002,2539900
2019-03-26,148.009995,148.429993,142.800003,143.559998,143.559998,3010800
2019-03-27,144.320007,146.860001,143.880005,146.800003,146.800003,5524400
2019-03-28,169.149994,171.449997,166.100006,167.539993,167.539993,14698300
2019-03-29,165.910004,168.300003,162.949997,163.869995,163.869995,7223700
2019-04-01,164.759995,167.199997,163.220001,165.520004,165.520004,3958200
2019-04-02,165.610001,166.699997,164.009995,165.470001,165.470001,2207600
2019-04-03,165.600006,167.500000,163.949997,166.210007,166.210007,1827900
2019-04-04,166.270004,171.690002,166.149994,171.369995,171.369995,2790400
2019-04-05,172.039993,172.899994,168.839996,169.369995,169.369995,1951900
2019-04-08,168.779999,170.399994,168.360001,169.770004,169.770004,2135300
2019-04-09,169.410004,169.800003,165.529999,167.520004,167.520004,2475600
2019-04-10,168.300003,169.820007,166.679993,167.460007,167.460007,1573800
2019-04-11,167.690002,168.660004,166.929993,168.000000,168.000000,1409400
2019-04-12,168.500000,170.679993,167.500000,169.880005,169.880005,1523400
2019-04-15,170.020004,173.070007,170.020004,172.009995,172.009995,2475600
2019-04-16,173.000000,173.320007,168.729996,169.330002,169.330002,1759700
2019-04-17,169.889999,171.990005,167.929993,171.229996,171.229996,1674600
2019-04-18,171.740005,174.639999,169.720001,173.309998,173.309998,2293200
2019-04-22,173.199997,173.660004,172.039993,173.020004,173.020004,1260900
2019-04-23,174.509995,177.160004,173.029999,176.779999,176.779999,2411900
2019-04-24,177.789993,179.500000,174.410004,178.270004,178.270004,2474900
2019-04-25,178.339996,179.220001,176.610001,177.289993,177.289993,1713300
2019-04-26,177.750000,178.039993,175.410004,177.089996,177.089996,1585600
2019-04-29,176.610001,178.850006,176.500000,177.500000,177.500000,1798700
2019-04-30,177.259995,177.750000,175.630005,176.350006,176.350006,1268800
2019-05-01,176.229996,178.270004,175.580002,175.669998,175.669998,1306800
2019-05-02,176.649994,177.750000,174.809998,176.550003,176.550003,1369500
2019-05-03,176.839996,178.979996,176.009995,178.639999,178.639999,1036600
