Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,234.720001,235.279999,231.039993,232.949997,227.131989,2128600
2023-03-22,233.449997,233.949997,229.589996,229.830002,224.089905,1725100
2023-03-23,230.039993,234.100006,229.889999,233.100006,227.278244,2175700
2023-03-24,234.220001,238.500000,233.009995,238.029999,232.085114,2547300
2023-03-27,239.610001,239.949997,235.070007,236.759995,230.846832,2129100
2023-03-28,237.000000,238.679993,236.910004,238.479996,232.523865,1887800
2023-03-29,239.710007,241.589996,238.330002,241.029999,235.010178,2744000
2023-03-30,242.529999,242.809998,240.110001,241.500000,235.468445,2577000
2023-03-31,241.429993,242.399994,239.149994,241.750000,235.712204,2762500
2023-04-03,242.000000,244.750000,241.360001,244.440002,238.335022,2478700
2023-04-04,244.520004,248.110001,243.800003,247.529999,241.347839,2942800
2023-04-05,248.570007,253.710007,248.229996,253.369995,247.041992,2468000
2023-04-06,254.360001,255.429993,252.929993,253.320007,246.993256,2047800
2023-04-10,256.440002,256.440002,250.050003,250.899994,244.633667,1595600
2023-04-11,251.419998,253.080002,250.979996,251.429993,245.150436,1272800
2023-04-12,252.500000,252.710007,248.880005,249.500000,243.268646,2268900
2023-04-13,248.600006,251.899994,248.270004,251.440002,245.160202,2020900
2023-04-14,250.619995,251.759995,248.960007,250.000000,243.756149,1866200
2023-04-17,250.889999,251.500000,247.580002,248.070007,241.874374,1784800
2023-04-18,248.369995,249.009995,244.649994,246.089996,239.943817,1638800
2023-04-19,245.250000,246.759995,244.369995,246.210007,240.060822,1246500
2023-04-20,246.119995,246.399994,243.050003,243.460007,237.379501,1691300
2023-04-21,243.460007,243.919998,242.649994,243.860001,237.769501,1721300
2023-04-24,243.199997,245.369995,242.330002,244.449997,238.344772,1232100
2023-04-25,245.119995,246.529999,244.309998,244.869995,238.754272,1509700
2023-04-26,242.080002,243.550003,238.580002,238.800003,232.835892,2002900
2023-04-27,239.240005,240.710007,235.399994,240.339996,234.337402,2533900
2023-04-28,236.820007,240.100006,233.169998,239.740005,233.752411,2721400
2023-05-01,240.029999,241.300003,238.089996,238.899994,232.933380,1920500
2023-05-02,238.080002,239.000000,235.389999,235.970001,230.076553,2127200
2023-05-03,235.970001,236.300003,228.979996,229.309998,223.582886,2998000
2023-05-04,230.309998,232.029999,229.149994,231.889999,226.098465,2228500
2023-05-05,232.660004,237.039993,232.070007,236.529999,230.622559,2806800
2023-05-08,235.339996,235.740005,232.199997,234.619995,228.760269,1667800
2023-05-09,234.639999,235.440002,233.220001,234.429993,228.575012,1468900
2023-05-10,234.889999,235.000000,231.350006,234.110001,228.263016,1530800
2023-05-11,234.649994,234.990005,230.410004,232.289993,226.488480,1612400
2023-05-12,233.029999,233.550003,231.210007,232.949997,227.131989,1295600
2023-05-15,233.270004,233.919998,232.119995,233.529999,227.697495,1551300
2023-05-16,234.210007,234.509995,227.740005,227.880005,222.188614,2646500
2023-05-17,226.020004,226.089996,220.440002,225.020004,221.470139,3352900
2023-05-18,224.750000,224.750000,221.919998,224.229996,220.692581,2245300
2023-05-19,224.440002,225.880005,222.779999,223.419998,219.895370,2395700
2023-05-22,224.850006,226.820007,222.820007,223.990005,220.456375,1848600
2023-05-23,224.210007,226.820007,222.800003,224.440002,220.899277,2296600
2023-05-24,225.639999,225.960007,221.039993,221.320007,217.828506,1765000
2023-05-25,220.100006,220.100006,214.929993,217.460007,214.029404,2968200
2023-05-26,215.960007,218.479996,214.479996,216.929993,213.507751,3081000
2023-05-30,215.029999,219.000000,214.720001,218.529999,215.082504,3125900
2023-05-31,219.580002,221.850006,217.190002,220.649994,217.169067,3884700
2023-06-01,219.960007,220.600006,211.710007,214.270004,210.889725,4831400
2023-06-02,213.750000,218.759995,212.020004,218.070007,214.629791,3687200
2023-06-05,219.669998,223.039993,218.470001,221.880005,218.379669,2498700
2023-06-06,223.080002,223.169998,219.279999,221.220001,217.730072,1736100
2023-06-07,220.759995,221.869995,219.729996,221.250000,217.759613,2555400
2023-06-08,221.259995,221.889999,219.360001,220.759995,217.277328,1877300
2023-06-09,219.339996,220.940002,217.770004,218.759995,215.308884,1707900
2023-06-12,219.250000,219.250000,215.320007,217.360001,213.930984,2704300
2023-06-13,217.429993,222.339996,216.929993,221.990005,218.487930,2318500
2023-06-14,223.259995,223.690002,221.100006,222.279999,218.773346,2453000
2023-06-15,223.009995,228.850006,222.970001,228.440002,224.836166,2633900
2023-06-16,230.039993,231.949997,227.750000,229.660004,226.036942,6765000
2023-06-20,229.029999,230.839996,227.190002,228.589996,224.983795,2492700
2023-06-21,228.179993,230.000000,225.589996,227.039993,223.458252,2282600
2023-06-22,227.309998,229.880005,226.759995,229.660004,226.036942,1607200
2023-06-23,229.869995,230.539993,226.410004,227.110001,223.527161,4130700
2023-06-26,226.800003,226.800003,220.119995,224.729996,221.184708,2565500
2023-06-27,224.160004,224.639999,221.130005,222.610001,219.098145,2705900
2023-06-28,222.240005,222.350006,218.649994,221.309998,217.818649,2263400
2023-06-29,219.619995,221.660004,218.880005,221.160004,217.671021,1860300
2023-06-30,222.000000,223.110001,221.009995,222.020004,218.517456,2843300
2023-07-03,221.210007,225.570007,219.839996,225.009995,221.460281,1479200
2023-07-05,224.660004,227.320007,222.410004,225.880005,222.316574,2440400
2023-07-06,224.919998,225.990005,221.699997,222.979996,219.462296,2457800
2023-07-07,221.860001,222.160004,218.440002,218.649994,215.200607,2841500
2023-07-10,219.160004,224.899994,218.610001,224.729996,221.184708,2501700
2023-07-11,223.830002,225.580002,222.270004,223.860001,220.328430,2022200
2023-07-12,225.169998,227.320007,224.089996,225.679993,222.119705,2619500
2023-07-13,225.850006,228.119995,225.000000,227.660004,224.068481,1803600
2023-07-14,227.839996,228.660004,225.960007,227.429993,223.842102,2044000
2023-07-17,226.869995,228.600006,224.339996,227.839996,224.245651,2049200
2023-07-18,227.789993,234.070007,227.399994,232.570007,228.901031,2621200
2023-07-19,232.979996,234.550003,231.990005,232.050003,228.389221,2047200
2023-07-20,233.809998,238.479996,232.910004,233.229996,229.550598,3741300
2023-07-21,233.770004,236.380005,232.779999,234.820007,231.115540,9381100
2023-07-24,235.000000,236.130005,233.919998,235.419998,231.706055,1771300
2023-07-25,234.360001,236.570007,234.279999,235.309998,231.597794,1325600
2023-07-26,233.949997,235.740005,232.440002,235.210007,231.499390,1576800
2023-07-27,234.479996,238.479996,234.309998,236.050003,232.326126,2439600
2023-07-28,236.820007,238.179993,235.089996,236.369995,232.641068,1889500
2023-07-31,236.479996,236.479996,233.020004,234.149994,230.456085,2826600
2023-08-01,234.929993,235.380005,230.589996,232.119995,228.458115,1843400
2023-08-02,232.720001,233.029999,228.699997,230.410004,226.775101,2593500
2023-08-03,230.789993,231.100006,228.210007,230.699997,227.060516,2322200
2023-08-04,237.910004,246.419998,237.000000,243.279999,239.442062,5181200
2023-08-07,244.250000,253.820007,243.460007,252.940002,248.949677,4076600
2023-08-08,257.519989,263.790009,256.500000,260.799988,256.685638,5321600
2023-08-09,259.920013,263.769989,259.119995,259.320007,255.229019,2428100
2023-08-10,261.540009,264.779999,260.459991,262.059998,257.925812,1919200
2023-08-11,261.700012,264.109985,260.829987,262.510010,258.368713,1560600
2023-08-14,262.220001,263.470001,259.850006,260.970001,256.852997,1966100
2023-08-15,261.320007,266.630005,259.959991,266.010010,261.813477,2781200
2023-08-16,266.329987,268.239990,264.579987,265.019989,260.839081,2244000
2023-08-17,263.869995,266.579987,263.269989,263.850006,261.791626,2256100
2023-08-18,262.609985,262.989990,261.070007,261.820007,259.777466,2814500
2023-08-21,261.579987,262.470001,259.010010,260.700012,258.666199,2324100
2023-08-22,260.239990,260.399994,257.350006,257.619995,255.610214,1720300
2023-08-23,259.500000,259.850006,255.979996,257.359985,255.352234,2256800
2023-08-24,256.730011,260.190002,256.170013,256.619995,254.618011,1888900
2023-08-25,257.109985,257.739990,254.809998,256.380005,254.379898,1786600
2023-08-28,256.959991,258.119995,255.139999,256.549988,254.548553,1661300
2023-08-29,257.359985,259.850006,256.820007,259.640015,257.614471,2216600
2023-08-30,260.000000,260.869995,256.950012,257.880005,255.868195,1694300
2023-08-31,258.220001,259.000000,256.290009,256.339996,254.340195,2065000
2023-09-01,258.679993,259.029999,256.100006,256.709991,254.707306,1349700
2023-09-05,256.709991,257.390015,253.919998,254.009995,252.028366,1763600
2023-09-06,254.440002,254.440002,248.380005,249.009995,247.067383,1988900
2023-09-07,250.539993,254.699997,250.399994,254.389999,252.405411,2228300
2023-09-08,255.750000,260.339996,254.970001,259.429993,257.406097,2449000
2023-09-11,258.209991,262.809998,257.410004,261.720001,259.678223,2135100
2023-09-12,262.679993,263.019989,257.859985,260.309998,258.279236,1574000
2023-09-13,259.339996,260.220001,257.019989,257.230011,255.223267,2182800
2023-09-14,258.899994,263.140015,258.540009,262.299988,260.253693,3072400
2023-09-15,263.760010,263.929993,259.820007,260.720001,258.686035,6161100
2023-09-18,263.380005,265.220001,261.929993,263.149994,261.097076,1770100
2023-09-19,263.140015,265.769989,262.440002,264.309998,262.248016,1528200
2023-09-20,265.000000,273.079987,263.970001,271.459991,269.342224,3575300
2023-09-21,272.070007,272.480011,267.700012,269.410004,267.308228,2437100
2023-09-22,267.670013,269.500000,266.519989,267.700012,265.611603,1894100
