Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,36.770000,37.090000,36.669998,36.990002,35.710712,17058200
2023-03-22,37.099998,37.259998,36.169998,36.200001,34.948029,16159200
2023-03-23,36.110001,36.480000,35.639999,35.970001,34.725990,20323000
2023-03-24,35.700001,36.130001,35.279999,35.919998,34.677715,20371000
2023-03-27,36.180000,36.619999,36.169998,36.400002,35.141117,16333800
2023-03-28,36.410000,36.790001,36.349998,36.450001,35.189388,11818100
2023-03-29,36.830002,36.990002,36.730000,36.950001,35.672092,14579700
2023-03-30,37.389999,37.400002,36.970001,37.150002,35.865177,14922200
2023-03-31,37.279999,37.950001,37.209999,37.910000,36.598892,15858200
2023-04-03,38.000000,38.349998,37.820000,38.009998,36.695435,19698300
2023-04-04,37.950001,38.040001,37.459999,37.770000,36.744076,20121000
2023-04-05,37.630001,38.099998,37.529999,37.919998,36.889999,16510500
2023-04-06,38.040001,38.080002,37.549999,37.689999,36.666245,20359100
2023-04-10,37.529999,38.279999,37.419998,38.230000,37.191586,12432400
2023-04-11,38.330002,38.689999,38.279999,38.380001,37.337505,14214800
2023-04-12,38.700001,38.740002,37.540001,37.639999,36.617603,16207500
2023-04-13,37.889999,38.299999,37.740002,38.049999,37.016472,15539200
2023-04-14,37.990002,38.209999,37.430000,37.959999,36.928913,19679100
2023-04-17,37.990002,38.240002,37.939999,38.090000,37.055382,14930500
2023-04-18,38.849998,39.060001,37.950001,38.270000,37.230495,17250100
2023-04-19,38.029999,38.430000,37.980000,38.250000,37.211037,13401000
2023-04-20,38.040001,38.169998,37.580002,37.730000,36.705166,14347700
2023-04-21,37.799999,37.849998,37.500000,37.740002,36.714893,13679400
2023-04-24,37.669998,37.730000,37.080002,37.209999,36.199287,13364800
2023-04-25,36.970001,37.130001,36.750000,36.900002,35.897709,18185400
2023-04-26,36.680000,36.950001,36.389999,36.520000,35.528027,19547800
2023-04-27,37.700001,40.419998,37.599998,40.270000,39.176174,31581400
2023-04-28,40.040001,41.419998,39.990002,41.369999,40.246292,24805400
2023-05-01,42.000000,42.000000,41.529999,41.639999,40.508953,17235500
2023-05-02,41.529999,41.639999,40.520000,41.200001,40.080910,20977800
2023-05-03,41.360001,41.529999,40.810001,40.889999,39.779331,19592900
2023-05-04,40.770000,40.779999,40.009998,40.220001,39.127529,15143000
2023-05-05,40.570000,40.630001,39.849998,40.430000,39.331825,18935300
2023-05-08,40.529999,40.799999,40.259998,40.590000,39.487476,16351900
2023-05-09,40.410000,40.500000,39.570000,39.619999,38.543823,23318300
2023-05-10,39.930000,39.930000,39.279999,39.860001,38.777306,19204300
2023-05-11,39.790001,40.520000,39.779999,40.369999,39.273449,19003400
2023-05-12,40.450001,40.560001,40.020000,40.209999,39.117802,17166700
2023-05-15,40.380001,40.509998,40.070000,40.200001,39.108070,13489800
2023-05-16,40.090000,40.180000,39.529999,39.740002,38.660564,12333000
2023-05-17,39.860001,40.470001,39.730000,40.290001,39.195625,13146900
2023-05-18,39.830002,41.360001,39.820000,41.310001,40.187923,18785400
2023-05-19,41.509998,41.590000,40.980000,41.180000,40.061451,17728500
2023-05-22,41.490002,41.660000,41.169998,41.240002,40.119823,13572300
2023-05-23,41.209999,41.500000,40.369999,40.380001,39.283180,19594700
2023-05-24,40.509998,40.580002,39.880001,39.980000,38.894047,20956800
2023-05-25,39.480000,39.860001,38.990002,39.090000,38.028225,28091200
2023-05-26,39.270000,39.669998,39.090000,39.480000,38.407623,35819800
2023-05-30,39.119999,39.759998,39.070000,39.160000,38.096321,24313500
2023-05-31,39.209999,39.470001,38.849998,39.349998,38.281158,53653200
2023-06-01,39.570000,39.570000,38.680000,39.040001,37.979584,30453900
2023-06-02,38.549999,39.549999,38.480000,39.189999,38.125504,24603200
2023-06-05,39.279999,39.840000,39.220001,39.790001,38.709206,24043000
2023-06-06,39.930000,40.009998,39.270000,39.459999,38.388168,14302900
2023-06-07,39.500000,40.470001,39.439999,40.349998,39.253994,18455900
2023-06-08,40.310001,40.509998,39.990002,40.470001,39.370739,10762600
2023-06-09,40.250000,40.480000,40.099998,40.230000,39.137253,12142100
2023-06-12,40.189999,40.799999,40.099998,40.689999,39.584759,16800600
2023-06-13,40.919998,41.130001,40.619999,40.680000,39.575031,12572000
2023-06-14,40.720001,41.220001,40.610001,40.840000,39.730682,18627500
2023-06-15,40.799999,41.549999,40.700001,41.470001,40.343575,15685200
2023-06-16,41.639999,41.660000,41.099998,41.200001,40.080910,34132900
2023-06-20,41.240002,41.310001,40.619999,40.639999,39.536118,13864900
2023-06-21,40.599998,40.939999,40.320000,40.619999,39.516663,13308200
2023-06-22,40.700001,40.750000,40.200001,40.580002,39.477753,13004000
2023-06-23,40.320000,40.509998,39.939999,40.090000,39.001064,19048300
2023-06-26,40.270000,40.779999,40.169998,40.560001,39.458294,18285100
2023-06-27,40.369999,41.590000,40.369999,41.480000,40.353302,14987800
2023-06-28,41.959999,42.040001,41.310001,41.669998,40.538139,16198900
2023-06-29,41.380001,41.730000,41.299999,41.470001,40.343575,11151700
2023-06-30,41.759998,41.880001,41.400002,41.549999,40.421402,16271200
2023-07-03,40.980000,41.820000,40.889999,41.759998,40.911236,8378300
2023-07-05,41.590000,41.759998,41.110001,41.480000,40.636929,12976800
2023-07-06,41.099998,41.430000,40.869999,41.209999,40.372417,12381600
2023-07-07,41.119999,41.880001,40.950001,41.430000,40.587944,14347900
2023-07-10,41.740002,42.360001,41.740002,41.849998,40.999409,19625700
2023-07-11,41.980000,42.279999,41.630001,42.009998,41.156155,15652500
2023-07-12,42.230000,42.540001,42.160000,42.340000,41.479450,17840000
2023-07-13,42.680000,42.740002,42.220001,42.560001,41.694977,17147600
2023-07-14,41.930000,42.270000,41.799999,42.009998,41.156155,12899100
2023-07-17,41.849998,42.270000,41.509998,42.090000,41.234531,17410400
2023-07-18,41.990002,42.790001,41.970001,42.439999,41.577419,18721400
2023-07-19,42.230000,42.830002,42.209999,42.709999,41.841930,18645600
2023-07-20,42.900002,43.419998,42.779999,43.209999,42.331768,18006800
2023-07-21,43.240002,43.500000,42.849998,42.889999,42.018272,52583700
2023-07-24,43.110001,43.500000,43.020000,43.290001,42.410141,15343700
2023-07-25,43.139999,43.529999,43.139999,43.299999,42.419937,14184300
2023-07-26,43.290001,43.380001,42.630001,42.910000,42.037865,17652400
2023-07-27,44.520000,46.439999,44.439999,45.349998,44.428268,31586100
2023-07-28,45.860001,46.180000,44.980000,45.230000,44.310711,20668200
2023-07-31,45.369999,45.820000,45.119999,45.259998,44.340099,15942700
2023-08-01,45.459999,45.509998,45.090000,45.310001,44.389088,15101500
2023-08-02,45.500000,45.619999,44.610001,45.090000,44.173557,16651300
2023-08-03,45.099998,45.570000,44.910000,45.169998,44.251926,12351200
2023-08-04,45.250000,45.549999,44.790001,44.840000,43.928638,12704100
2023-08-07,45.139999,45.599998,45.090000,45.450001,44.526237,12529700
2023-08-08,45.299999,45.610001,45.150002,45.400002,44.477257,19889000
2023-08-09,45.400002,45.639999,45.169998,45.279999,44.359695,15184200
2023-08-10,45.669998,46.529999,45.669998,45.930000,44.996487,16149700
2023-08-11,45.680000,46.230000,45.570000,46.029999,45.094452,13602100
2023-08-14,46.189999,46.869999,46.189999,46.560001,45.613682,20847900
2023-08-15,46.310001,47.290001,46.240002,47.029999,46.074123,20060300
2023-08-16,47.080002,47.459999,46.320000,46.340000,45.398155,17345900
2023-08-17,46.630001,46.880001,46.240002,46.240002,45.300182,12513500
2023-08-18,46.060001,46.360001,45.639999,45.759998,44.829937,17600000
2023-08-21,45.549999,46.060001,45.529999,45.860001,44.927906,12331700
2023-08-22,45.900002,46.099998,45.520000,45.570000,44.643803,11963200
2023-08-23,45.840000,45.939999,45.330002,45.459999,44.536034,18382800
2023-08-24,45.349998,45.750000,45.180000,45.240002,44.320511,15310200
2023-08-25,45.310001,45.619999,45.160000,45.470001,44.545837,13051300
2023-08-28,45.560001,46.060001,45.560001,45.980000,45.045467,10807700
2023-08-29,46.029999,46.880001,45.980000,46.779999,45.829205,14198400
2023-08-30,46.930000,47.189999,46.680000,47.119999,46.162296,13971600
