Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,118.930000,119.239998,114.919998,115.000000,115.000000,1452600
2023-03-23,116.260002,116.870003,113.320000,114.500000,114.500000,1918700
2023-03-24,114.260002,115.209999,112.790001,114.089996,114.089996,1360700
2023-03-27,115.750000,117.949997,115.040001,116.070000,116.070000,1571400
2023-03-28,117.320000,117.989998,113.139999,113.820000,113.820000,1335500
2023-03-29,114.830002,115.750000,113.070000,113.959999,113.959999,1559900
2023-03-30,114.269997,115.000000,112.620003,114.400002,114.400002,1547800
2023-03-31,115.019997,116.870003,114.519997,116.180000,116.180000,2118200
2023-04-03,116.029999,116.029999,113.250000,115.239998,115.239998,1743300
2023-04-04,115.440002,116.180000,114.300003,115.639999,115.639999,1467100
2023-04-05,115.690002,115.739998,112.419998,112.820000,112.820000,1489600
2023-04-06,112.940002,112.940002,111.430000,112.470001,112.470001,1835200
2023-04-10,112.519997,113.070000,110.900002,112.529999,112.529999,1871300
2023-04-11,112.000000,115.120003,111.970001,115.040001,115.040001,1826000
2023-04-12,116.129997,116.680000,114.570000,114.820000,114.820000,1534600
2023-04-13,115.169998,116.599998,115.050003,116.279999,116.279999,1093400
2023-04-14,115.680000,116.459999,114.129997,115.699997,115.699997,1150000
2023-04-17,117.910004,120.220001,117.690002,118.650002,118.650002,2180500
2023-04-18,119.839996,119.839996,117.930000,118.930000,118.930000,1653900
2023-04-19,118.769997,124.199997,118.669998,124.120003,124.120003,2410100
2023-04-20,123.589996,125.320000,121.949997,122.190002,122.190002,2247800
2023-04-21,123.349998,125.400002,122.330002,123.730003,123.730003,2129600
2023-04-24,124.680000,125.010002,123.500000,123.830002,123.830002,1829000
2023-04-25,123.000000,125.099998,123.000000,123.959999,123.959999,2263400
2023-04-26,123.000000,125.180000,122.919998,124.930000,124.930000,2333300
2023-04-27,125.580002,126.440002,121.220001,123.580002,123.580002,4075000
2023-04-28,119.260002,122.279999,117.599998,121.339996,121.339996,3901500
2023-05-01,121.339996,121.470001,117.209999,118.440002,118.440002,2447200
2023-05-02,117.000000,118.269997,115.010002,118.120003,118.120003,2662500
2023-05-03,119.199997,119.879997,116.790001,117.320000,117.320000,6887600
2023-05-04,116.500000,117.870003,116.029999,117.419998,117.419998,1765800
2023-05-05,117.709999,121.589996,117.279999,120.820000,120.820000,2170200
2023-05-08,120.150002,120.919998,118.669998,120.180000,120.180000,1733400
2023-05-09,120.190002,120.440002,118.690002,119.650002,119.650002,1301000
