Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,112.800003,114.360001,111.300003,111.349998,111.349998,3848800
2023-03-23,110.980003,113.360001,110.379997,111.099998,111.099998,3432200
2023-03-24,109.769997,112.680000,109.129997,112.519997,112.519997,3377500
2023-03-27,113.519997,114.080002,111.650002,111.769997,111.769997,3054300
2023-03-28,111.360001,111.510002,110.680000,111.279999,111.279999,2762400
2023-03-29,112.209999,112.500000,111.220001,111.839996,111.839996,2936100
2023-03-30,112.660004,113.690002,112.000000,113.000000,113.000000,2222300
2023-03-31,113.790001,113.900002,112.599998,113.029999,113.029999,3874100
2023-04-03,112.570000,113.099998,111.910004,112.830002,112.830002,3303300
2023-04-04,113.070000,113.349998,111.080002,111.589996,111.589996,2364700
2023-04-05,111.290001,112.449997,111.099998,112.339996,112.339996,2376600
2023-04-06,112.339996,113.389999,111.980003,113.010002,113.010002,2456900
2023-04-10,112.550003,113.750000,112.349998,113.709999,113.709999,1749100
2023-04-11,114.320000,115.279999,113.860001,114.830002,114.830002,3166400
2023-04-12,115.620003,116.029999,113.699997,114.489998,114.489998,4208500
2023-04-13,114.730003,115.970001,114.300003,115.720001,115.720001,2647500
2023-04-14,115.849998,116.529999,114.389999,115.589996,115.589996,2327000
2023-04-17,115.589996,117.199997,115.379997,117.110001,117.110001,2541600
2023-04-18,117.489998,117.750000,116.470001,117.110001,117.110001,2561100
2023-04-19,117.300003,117.550003,116.250000,117.080002,117.080002,2276300
2023-04-20,116.900002,117.410004,116.480003,116.809998,116.809998,3019800
2023-04-21,116.500000,117.129997,116.180000,116.959999,116.959999,2081300
2023-04-24,116.930000,118.230003,116.830002,117.300003,117.300003,3926800
2023-04-25,118.220001,122.389999,118.160004,120.089996,120.089996,7399200
2023-04-26,119.419998,120.919998,117.750000,118.379997,118.379997,3457500
2023-04-27,119.480003,120.040001,118.589996,119.599998,119.599998,3018700
2023-04-28,119.489998,122.169998,119.160004,122.120003,122.120003,2767700
2023-05-01,121.660004,122.360001,121.309998,121.440002,121.440002,2012500
2023-05-02,121.300003,121.720001,118.419998,119.260002,119.260002,2543700
2023-05-03,119.699997,121.169998,118.959999,119.339996,119.339996,1729200
2023-05-04,119.199997,119.639999,116.949997,117.779999,117.779999,2523000
2023-05-05,118.589996,120.620003,118.220001,120.300003,120.300003,2163200
2023-05-08,119.639999,120.160004,118.820000,119.500000,119.500000,2189300
2023-05-09,118.989998,119.639999,118.050003,119.389999,119.389999,2393500
2023-05-10,120.099998,120.410004,117.389999,118.349998,118.349998,2434300
2023-05-11,118.220001,119.750000,117.459999,119.349998,119.349998,1856900
2023-05-12,119.750000,120.330002,118.720001,119.449997,119.449997,1711600
2023-05-15,119.449997,119.849998,119.040001,119.720001,119.720001,1805000
2023-05-16,119.570000,119.910004,118.580002,118.680000,118.680000,1752800
2023-05-17,118.800003,120.320000,118.750000,119.690002,119.690002,2599000
2023-05-18,119.459999,120.190002,118.830002,120.160004,120.160004,3212000
2023-05-19,120.489998,120.830002,119.290001,119.540001,119.540001,3224600
2023-05-22,119.980003,120.260002,119.330002,119.540001,119.540001,2042000
2023-05-23,118.410004,119.839996,117.750000,118.269997,118.269997,2173400
2023-05-24,117.750000,117.839996,115.919998,116.470001,116.470001,2623900
2023-05-25,115.379997,116.050003,112.489998,112.809998,112.809998,5620400
2023-05-26,112.680000,114.000000,112.099998,113.769997,113.769997,4027300
2023-05-30,113.769997,113.830002,111.379997,112.959999,112.959999,4087400
2023-05-31,112.290001,112.959999,110.309998,112.190002,112.190002,16398300
2023-06-01,112.099998,113.230003,111.599998,112.750000,112.750000,4084300
2023-06-02,113.410004,114.349998,112.849998,113.900002,113.900002,4526900
2023-06-05,113.900002,114.290001,111.769997,112.230003,112.230003,5873100
2023-06-06,112.540001,116.070000,112.480003,114.230003,114.230003,31735400
2023-06-07,115.500000,116.000000,113.570000,115.779999,115.779999,3075700
2023-06-08,115.870003,116.290001,115.059998,115.290001,115.290001,2963500
2023-06-09,115.809998,117.250000,115.019997,116.820000,116.820000,2635900
2023-06-12,117.050003,117.769997,116.639999,117.629997,117.629997,3573000
2023-06-13,117.910004,119.010002,117.669998,118.760002,118.760002,3709500
2023-06-14,119.449997,121.489998,119.330002,120.000000,120.000000,4561600
2023-06-15,118.860001,120.940002,118.449997,120.349998,120.349998,3082900
2023-06-16,120.730003,120.860001,119.400002,119.959999,119.959999,6419600
2023-06-20,118.910004,120.290001,118.900002,119.570000,119.570000,2530300
2023-06-21,119.010002,120.529999,118.389999,120.029999,120.029999,2227000
2023-06-22,119.800003,120.550003,119.150002,120.540001,120.540001,1666200
2023-06-23,120.010002,120.900002,119.000000,120.489998,120.489998,4278400
2023-06-26,120.029999,121.720001,119.690002,120.160004,120.160004,2302100
2023-06-27,120.510002,122.430000,120.150002,122.400002,122.400002,2593500
2023-06-28,122.720001,123.809998,122.500000,122.949997,122.949997,2940200
2023-06-29,123.010002,124.150002,123.010002,124.050003,124.050003,2561600
2023-06-30,124.910004,126.550003,124.680000,126.150002,126.150002,3081700
2023-07-03,125.690002,126.160004,125.279999,125.949997,125.949997,1395600
2023-07-05,125.279999,125.940002,124.160004,124.900002,124.900002,3509000
2023-07-06,123.989998,125.750000,123.440002,125.389999,125.389999,2260300
2023-07-07,124.660004,125.830002,124.519997,125.199997,125.199997,2004600
2023-07-10,125.510002,127.089996,125.110001,126.889999,126.889999,2588900
2023-07-11,126.930000,127.660004,126.529999,126.989998,126.989998,1903500
2023-07-12,128.000000,128.029999,126.989998,127.570000,127.570000,2212300
2023-07-13,127.400002,128.850006,127.400002,128.679993,128.679993,2366100
2023-07-14,128.479996,128.690002,127.529999,128.000000,128.000000,1829500
2023-07-17,127.900002,129.149994,127.279999,128.509995,128.509995,1822700
2023-07-18,128.220001,129.500000,127.029999,129.320007,129.320007,2063000
2023-07-19,129.240005,129.389999,127.599998,127.629997,127.629997,3417700
2023-07-20,128.110001,129.559998,127.599998,129.380005,129.380005,2625700
2023-07-21,129.740005,130.250000,128.500000,128.529999,128.529999,2409000
2023-07-24,129.360001,130.160004,128.910004,129.750000,129.750000,2706800
2023-07-25,129.419998,130.740005,128.820007,130.059998,130.059998,3114400
2023-07-26,124.739998,128.389999,122.599998,127.300003,127.300003,4829300
2023-07-27,128.070007,128.070007,122.930000,123.510002,123.510002,3923900
2023-07-28,124.669998,125.129997,123.750000,124.989998,124.989998,3294100
2023-07-31,125.660004,126.540001,125.360001,126.209999,126.209999,2811200
2023-08-01,125.959999,127.230003,125.300003,126.970001,126.970001,2064300
2023-08-02,126.199997,126.889999,124.430000,124.559998,124.559998,2206000
2023-08-03,124.250000,125.559998,123.949997,125.180000,125.180000,1784100
2023-08-04,124.980003,125.699997,124.099998,124.820000,124.820000,1789100
2023-08-07,125.580002,126.180000,125.080002,125.879997,125.879997,1493100
2023-08-08,124.820000,125.489998,124.309998,125.199997,125.199997,1553100
2023-08-09,125.589996,126.320000,124.949997,125.050003,125.050003,1681400
2023-08-10,126.010002,126.949997,125.720001,126.010002,126.010002,1880100
2023-08-11,126.010002,126.180000,124.980003,125.589996,125.589996,1338400
2023-08-14,125.500000,126.300003,124.209999,124.470001,124.470001,2168800
2023-08-15,123.889999,124.550003,122.949997,123.169998,123.169998,1950700
2023-08-16,123.480003,123.480003,121.610001,121.779999,121.779999,1994800
2023-08-17,122.129997,122.290001,120.180000,120.330002,120.330002,2428200
2023-08-18,119.320000,120.800003,119.320000,120.080002,120.080002,2223700
2023-08-21,120.089996,120.440002,118.570000,119.089996,119.089996,1767700
2023-08-22,119.599998,119.699997,118.900002,119.260002,119.260002,1631800
2023-08-23,119.800003,121.019997,119.089996,120.410004,120.410004,1673800
2023-08-24,120.419998,121.300003,120.209999,120.660004,120.660004,2085900
2023-08-25,121.339996,122.010002,120.550003,121.480003,121.480003,1894500
2023-08-28,122.059998,122.830002,121.790001,122.739998,122.739998,1354200
2023-08-29,122.629997,123.239998,122.120003,122.730003,122.730003,1457700
2023-08-30,122.510002,122.970001,121.879997,122.589996,122.589996,1765700
2023-08-31,122.750000,122.970001,120.980003,121.389999,121.389999,2869700
2023-09-01,122.220001,123.029999,121.510002,122.809998,122.809998,1777200
2023-09-05,122.779999,123.629997,121.620003,121.809998,121.809998,2119500
2023-09-06,121.900002,122.980003,121.720001,122.500000,122.500000,1892400
2023-09-07,122.580002,123.349998,122.150002,123.099998,123.099998,2346200
2023-09-08,123.260002,123.739998,121.260002,121.599998,121.599998,2263800
2023-09-11,121.739998,122.449997,121.349998,121.680000,121.680000,2075900
