Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,191.720001,192.000000,187.080002,187.160004,182.116058,2348500
2023-03-23,186.860001,189.419998,185.550003,186.919998,181.882507,2360100
2023-03-24,186.389999,188.220001,184.600006,188.160004,183.089081,2332300
2023-03-27,188.630005,189.589996,187.429993,187.990005,182.923676,2133100
2023-03-28,187.750000,189.610001,187.399994,187.919998,182.855545,2069700
2023-03-29,189.660004,189.710007,187.770004,189.070007,183.974564,2684200
2023-03-30,189.610001,190.440002,187.979996,189.119995,184.023209,1999400
2023-03-31,190.119995,191.380005,189.330002,191.119995,185.969315,2702600
2023-04-03,190.570007,193.899994,189.960007,193.279999,188.071106,2873600
2023-04-04,193.119995,193.229996,189.679993,190.940002,185.794159,2499100
2023-04-05,190.289993,191.009995,189.279999,189.429993,184.324860,3029800
2023-04-06,189.610001,192.110001,189.009995,190.460007,185.327103,2782300
2023-04-10,190.740005,192.600006,190.320007,191.679993,186.514206,2540200
2023-04-11,192.880005,193.160004,191.820007,192.190002,187.010483,2435600
2023-04-12,193.460007,194.869995,192.330002,193.229996,188.022461,3656800
2023-04-13,193.250000,196.419998,192.600006,195.899994,190.620499,3360600
2023-04-14,195.630005,197.729996,195.250000,196.550003,191.252991,1963900
2023-04-17,197.179993,198.070007,196.740005,197.860001,192.527664,1682700
2023-04-18,198.720001,199.470001,196.220001,196.929993,191.622726,2400000
2023-04-19,198.250000,198.660004,197.220001,197.809998,192.479019,1864100
2023-04-20,197.500000,197.759995,196.000000,196.750000,191.447586,1947100
2023-04-21,197.089996,197.350006,195.399994,196.080002,190.795639,1970700
2023-04-24,197.210007,198.080002,196.270004,196.779999,191.476791,1605600
2023-04-25,198.520004,198.910004,195.860001,195.960007,190.678879,2244300
2023-04-26,193.880005,194.470001,190.179993,190.899994,185.755249,3579400
2023-04-27,195.940002,198.850006,193.570007,198.610001,193.257462,3862400
2023-04-28,199.000000,200.809998,198.490005,199.839996,194.454300,2863100
2023-05-01,200.000000,202.160004,199.960007,200.479996,195.077072,2224900
2023-05-02,199.660004,199.660004,196.369995,198.259995,192.916885,2588100
2023-05-03,199.850006,200.610001,197.710007,197.960007,192.625000,2775300
2023-05-04,198.220001,199.000000,194.929993,196.220001,190.931885,2304800
2023-05-05,197.339996,198.589996,196.779999,198.419998,193.072586,2088100
2023-05-08,199.750000,199.979996,195.970001,196.949997,191.642197,1494500
2023-05-09,195.960007,198.289993,194.960007,197.130005,191.817368,2237700
2023-05-10,197.490005,198.740005,194.320007,197.339996,192.021698,2158300
2023-05-11,195.929993,196.289993,193.199997,193.979996,189.742569,2870800
2023-05-12,194.940002,195.350006,192.699997,193.619995,189.390427,2102000
2023-05-15,193.500000,195.479996,192.649994,194.309998,190.065384,1565800
2023-05-16,193.960007,193.960007,191.300003,191.610001,187.424332,2050700
2023-05-17,193.029999,196.429993,192.539993,196.020004,191.738037,2421000
2023-05-18,195.449997,198.389999,194.889999,198.250000,193.919312,2438000
2023-05-19,199.500000,200.259995,197.059998,197.350006,193.038971,2669500
2023-05-22,197.050003,198.410004,195.220001,196.929993,192.628143,1763700
2023-05-23,197.199997,197.570007,194.889999,194.970001,190.710968,2158800
2023-05-24,194.929993,195.199997,190.889999,191.860001,187.668900,1744500
2023-05-25,191.869995,192.550003,189.990005,192.270004,188.069946,2421600
2023-05-26,192.779999,194.320007,192.149994,193.750000,189.517609,1972000
2023-05-30,193.600006,194.779999,190.419998,194.550003,190.300125,2256600
2023-05-31,193.850006,194.039993,190.360001,191.600006,187.414581,3655800
2023-06-01,191.850006,194.300003,190.470001,193.860001,189.625198,1908800
2023-06-02,196.449997,199.559998,195.889999,198.850006,194.506210,2740700
2023-06-05,198.720001,199.119995,196.050003,197.179993,192.872665,1662700
2023-06-06,197.559998,198.100006,195.360001,196.339996,192.051025,2294500
2023-06-07,196.960007,198.699997,194.229996,198.389999,194.056259,2555400
2023-06-08,197.869995,198.750000,197.059998,198.149994,193.821487,1626600
2023-06-09,197.630005,198.759995,196.089996,197.889999,193.567184,1760100
2023-06-12,198.210007,198.949997,196.630005,198.500000,194.163834,1680700
2023-06-13,198.500000,201.279999,197.759995,201.110001,196.716827,1987900
2023-06-14,202.000000,202.809998,198.660004,200.520004,196.139709,2656800
2023-06-15,201.250000,204.100006,200.429993,203.729996,199.279617,2467700
2023-06-16,205.000000,206.020004,202.460007,202.970001,198.536209,5005800
2023-06-20,202.649994,202.970001,199.029999,200.399994,196.022339,2085200
2023-06-21,199.289993,202.779999,198.110001,201.800003,197.391769,2553300
2023-06-22,201.960007,202.279999,199.630005,200.649994,196.266861,1616900
2023-06-23,199.130005,200.660004,198.649994,200.089996,195.719116,3321300
2023-06-26,200.300003,203.059998,199.449997,202.580002,198.154724,2131600
2023-06-27,202.559998,204.070007,202.449997,203.339996,198.898117,2358800
2023-06-28,203.419998,203.919998,202.000000,202.500000,198.076477,1972000
2023-06-29,202.419998,206.630005,201.740005,206.470001,201.959747,2544100
2023-06-30,207.669998,208.490005,206.809998,207.500000,202.967255,2986200
2023-07-03,206.789993,208.639999,205.039993,208.300003,203.749771,1215100
2023-07-05,207.399994,208.339996,205.949997,206.429993,201.920609,2335900
2023-07-06,204.970001,205.050003,202.080002,204.009995,199.553482,2102300
2023-07-07,202.880005,205.720001,202.160004,203.259995,198.819855,2253700
2023-07-10,204.210007,207.979996,203.619995,207.740005,203.202011,3102200
