Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,215.710114,219.630356,211.070038,211.264587,211.264587,867221
2023-03-23,212.568100,215.496109,208.696503,211.040863,211.040863,839362
2023-03-24,210.982483,214.435791,208.404663,214.007782,214.007782,775729
2023-03-27,213.657593,215.525299,210.603119,211.887161,211.887161,696778
2023-03-28,211.848251,212.577820,206.721786,208.015564,208.015564,892304
2023-03-29,216.070038,221.410507,213.365753,215.982483,215.982483,1293018
2023-03-30,218.793777,220.097275,215.535019,219.124512,219.124512,1210573
2023-03-31,220.087555,226.468872,219.503891,226.215958,226.215958,1148687
2023-04-03,224.640076,227.062256,218.929962,223.754868,223.754868,2829776
2023-04-04,224.873535,224.951355,220.612839,223.949417,223.949417,1152285
2023-04-05,224.212067,226.293777,222.752914,224.630356,224.630356,745608
2023-04-06,223.900772,224.708176,220.379379,223.725677,223.725677,1064391
2023-04-10,222.256805,224.036972,219.523346,223.453308,223.453308,847175
2023-04-11,223.453308,226.050583,221.079773,221.556427,221.556427,752804
2023-04-12,223.725677,224.873535,220.379379,220.700394,220.700394,895388
2023-04-13,222.986374,226.536972,222.217896,226.332687,226.332687,1087418
2023-04-14,224.552536,225.836578,220.476654,221.799606,221.799606,539186
2023-04-17,222.801559,223.920227,220.817123,223.706223,223.706223,623790
2023-04-18,225.680939,225.680939,221.089493,222.062256,222.062256,739954
2023-04-19,219.844360,225.904663,219.212067,225.301559,225.301559,791252
2023-04-20,221.955246,222.363815,218.433853,219.406616,219.406616,1028925
2023-04-21,220.428009,223.132294,218.540863,221.478592,221.478592,846764
2023-04-24,221.478592,223.326843,220.019455,222.830734,222.830734,750543
2023-04-25,221.916336,221.916336,212.256805,212.733459,212.733459,1569448
2023-04-26,210.515564,211.673157,199.610901,205.214005,205.214005,2425874
2023-04-27,206.147858,206.186768,197.081711,198.822952,198.822952,1481656
2023-04-28,198.112839,203.832687,197.071991,199.961090,199.961090,1051233
2023-05-01,199.212067,199.494156,195.544754,196.799606,196.799606,940003
2023-05-02,196.799606,197.714005,189.260696,189.844360,189.844360,1230722
2023-05-03,190.622574,196.157593,189.931900,191.186768,191.186768,1223526
2023-05-04,191.147858,191.770432,188.200394,190.953308,190.953308,997468
2023-05-05,192.607010,194.980545,190.428009,194.221786,194.221786,823839
2023-05-08,194.474701,195.418289,189.552536,190.369644,190.369644,1501497
2023-05-09,187.334625,190.291824,185.077820,188.968872,188.968872,936302
2023-05-10,191.352142,205.262650,191.147858,203.784042,203.784042,2824430
2023-05-11,202.694550,203.754868,198.073929,202.538910,202.538910,1291579
2023-05-12,203.638138,205.846298,201.128403,202.918289,202.918289,1009599
2023-05-15,203.472763,203.472763,196.750977,199.270432,199.270432,1316148
2023-05-16,197.334625,198.180939,194.163422,196.420227,196.420227,1414836
2023-05-17,196.196503,196.498047,190.661484,192.101166,192.101166,864445
2023-05-18,191.614792,195.914398,190.379379,195.807388,195.807388,1160818
2023-05-19,196.429962,200.243195,195.593384,199.280151,199.280151,1124426
2023-05-22,199.815170,204.737350,199.416336,203.161484,203.161484,1062130
2023-05-23,202.461090,203.900772,197.081711,198.803497,198.803497,775009
2023-05-24,196.429962,208.083664,194.640076,206.857971,206.857971,2043561
2023-05-25,206.108948,206.293777,180.933853,188.258759,188.258759,3883373
2023-05-26,188.910507,194.105057,188.774323,190.554474,190.554474,1832616
2023-05-30,190.846298,193.064209,188.307388,189.212067,189.212067,1357782
2023-05-31,189.212067,191.916336,187.256805,191.293777,191.293777,1466956
2023-06-01,190.749023,196.322952,189.299606,193.667313,193.667313,1267524
2023-06-02,194.990265,203.093384,194.416336,201.663422,201.663422,2092494
2023-06-05,202.470810,207.315170,201.274323,204.824905,204.824905,1189602
2023-06-06,204.961090,205.107010,196.235413,197.538910,197.538910,1262384
2023-06-07,197.140076,198.988327,195.058365,196.819061,196.819061,1357474
2023-06-08,196.819061,200.038910,195.583664,197.198441,197.198441,928490
2023-06-09,196.177048,196.887161,194.163422,195.068100,195.068100,715796
2023-06-12,202.334625,203.657593,193.579773,202.470810,202.470810,2642474
2023-06-13,202.908554,204.863815,200.107010,201.206223,201.206223,1158762
2023-06-14,201.361862,201.536972,196.284042,199.260696,199.260696,1865614
2023-06-15,198.404663,205.486374,197.636185,204.221786,204.221786,1833644
2023-06-16,206.322952,206.702332,199.416336,200.262650,200.262650,2511712
2023-06-20,196.284042,197.655640,194.357971,196.624512,196.624512,1873736
2023-06-21,194.571991,195.564209,191.731522,194.426071,194.426071,1827990
2023-06-22,194.075882,196.702332,191.206223,196.643967,196.643967,1455031
2023-06-23,193.832687,197.324905,193.803497,196.177048,196.177048,4547872
2023-06-26,195.690659,195.690659,186.478592,186.653702,186.653702,1636987
2023-06-27,185.311279,186.031128,177.130356,178.433853,178.433853,3187006
2023-06-28,178.083664,181.079773,176.673157,179.484436,179.484436,2045823
2023-06-29,178.404663,181.517517,176.926071,180.437744,180.437744,1294869
2023-06-30,181.848251,184.610901,181.031128,182.383270,182.383270,1324270
2023-07-03,182.480545,184.143967,179.961090,182.996109,182.996109,492926
2023-07-05,182.879379,183.852142,179.533081,181.935791,181.935791,853548
2023-07-06,179.620621,179.892990,176.381317,177.509735,177.509735,1180966
2023-07-07,177.169266,179.961090,176.595337,178.326843,178.326843,909780
2023-07-10,177.859924,181.663422,176.196503,178.929962,178.929962,1444443
2023-07-11,178.978592,181.245132,177.869644,179.785995,179.785995,1605119
2023-07-12,182.752914,187.480545,182.752914,186.721786,186.721786,1485049
2023-07-13,187.645920,188.210114,183.239304,183.686768,183.686768,1082176
2023-07-14,183.725677,184.095337,179.717896,182.052536,182.052536,1131417
2023-07-17,181.838516,181.857971,178.249023,179.124512,179.124512,2069570
2023-07-18,179.659531,180.262650,174.153702,175.418289,175.418289,1658267
2023-07-19,176.789886,183.317123,176.789886,179.503891,179.503891,4416699
2023-07-20,179.513626,180.787933,177.889099,179.153702,179.153702,1416687
2023-07-21,180.175095,186.303497,178.618683,185.301559,185.301559,3486154
2023-07-24,184.902725,186.274323,182.840469,182.947464,182.947464,1147351
2023-07-25,180.943573,187.256805,180.739304,184.192612,184.192612,882949
2023-07-26,183.005844,186.050583,180.836578,185.982483,185.982483,907416
2023-07-27,187.568100,188.599228,184.309341,184.533081,184.533081,1235245
2023-07-28,187.052536,188.735413,180.252914,187.198441,187.198441,2241451
2023-07-31,187.198441,187.743195,185.282104,186.916336,186.916336,1287878
2023-08-01,184.640076,185.252914,180.204285,184.134247,184.134247,916770
2023-08-02,182.509735,185.252914,181.099228,184.396881,184.396881,1188985
2023-08-03,183.871597,184.503891,178.735413,180.291824,180.291824,1136146
2023-08-04,180.282104,183.852142,179.776260,182.558365,182.558365,1365081
2023-08-07,182.665375,184.036972,180.651749,182.120621,182.120621,1106025
2023-08-08,180.505844,181.439682,177.392990,181.089493,181.089493,960152
2023-08-09,181.468872,184.445526,179.163422,179.464981,179.464981,1612932
2023-08-10,174.075882,190.311279,171.021408,180.077820,180.077820,3289806
2023-08-11,177.645920,177.694550,172.208176,175.564209,175.564209,2167846
2023-08-14,173.453308,174.552536,169.601166,170.369644,170.369644,1852148
