Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,74.139999,76.839996,74.070000,76.720001,76.720001,12327600
2023-03-22,76.860001,77.114998,74.239998,74.339996,74.339996,11641300
2023-03-23,72.949997,74.510002,71.709999,72.559998,72.559998,18567600
2023-03-24,71.919998,73.900002,71.529999,73.879997,73.879997,9176200
2023-03-27,74.815002,75.169998,73.180000,73.300003,73.300003,11908900
2023-03-28,73.099998,73.589996,71.860001,72.699997,72.699997,9252400
2023-03-29,73.209999,74.300003,73.000000,74.180000,74.180000,8746700
2023-03-30,74.930000,75.180000,73.900002,74.389999,74.389999,8429800
2023-03-31,74.510002,76.029999,74.120003,75.940002,75.940002,8378600
2023-04-03,75.625000,75.919998,74.705002,75.290001,75.290001,8911700
2023-04-04,75.459999,75.690002,74.730003,75.260002,75.260002,8949100
2023-04-05,75.110001,75.110001,73.114998,73.610001,73.610001,10812700
2023-04-06,73.269997,75.000000,72.279999,74.959999,74.959999,10524500
2023-04-10,74.459999,74.855003,73.459999,74.519997,74.519997,7591800
2023-04-11,76.029999,76.440002,73.209999,73.580002,73.580002,14190900
2023-04-12,73.940002,75.699997,73.349998,73.500000,73.500000,10422300
2023-04-13,73.709999,75.559998,73.559998,75.519997,75.519997,8724100
2023-04-14,75.199997,76.735001,75.150002,76.529999,76.529999,8902700
2023-04-17,76.834999,77.949997,76.550003,77.330002,77.330002,9717600
2023-04-18,77.709999,77.940002,76.209999,76.419998,76.419998,7558900
2023-04-19,75.300003,75.940002,74.099998,75.320000,75.320000,8888300
2023-04-20,74.400002,74.970001,73.470001,73.580002,73.580002,8847600
2023-04-21,73.400002,74.239998,72.919998,74.180000,74.180000,8591100
2023-04-24,74.410004,74.873001,73.379997,74.290001,74.290001,7458400
2023-04-25,73.900002,74.290001,71.760002,71.779999,71.779999,10255800
2023-04-26,71.209999,72.764999,71.029999,72.059998,72.059998,9068800
2023-04-27,73.000000,74.370003,72.959999,74.269997,74.269997,11420100
2023-04-28,74.239998,76.050003,73.919998,76.000000,76.000000,10718900
2023-05-01,76.029999,76.500000,74.970001,75.110001,75.110001,6857900
2023-05-02,74.820000,75.059998,71.930000,72.279999,72.279999,12767000
2023-05-03,72.410004,72.989998,71.349998,71.430000,71.430000,11865700
2023-05-04,71.769997,73.050003,71.754997,71.809998,71.809998,10230500
2023-05-05,72.959999,75.080002,72.940002,74.970001,74.970001,11941800
2023-05-08,75.709999,76.379997,74.915001,75.519997,75.519997,22864000
2023-05-09,69.529999,69.680000,65.849998,65.904999,65.904999,68702600
2023-05-10,66.500000,66.589996,62.779999,63.380001,63.380001,46309100
2023-05-11,63.450001,64.375000,62.639999,64.180000,64.180000,27903300
2023-05-12,64.099998,64.180000,61.310001,61.689999,61.689999,28654300
2023-05-15,61.750000,62.729000,61.580002,62.250000,62.250000,20633500
2023-05-16,61.799999,61.974998,60.750000,60.799999,60.799999,17517500
2023-05-17,61.150002,61.720001,60.400002,61.459999,61.459999,19938700
2023-05-18,61.459999,61.654999,60.459999,61.270000,61.270000,19820500
2023-05-19,61.900002,61.950001,60.708000,60.919998,60.919998,19362800
2023-05-22,60.950001,63.150002,60.650002,63.029999,63.029999,20220600
2023-05-23,63.029999,63.299999,61.840000,62.000000,62.000000,16815500
2023-05-24,61.650002,62.215000,61.230000,61.799999,61.799999,14790300
2023-05-25,61.740002,61.740002,59.314999,59.369999,59.369999,24461300
2023-05-26,59.500000,60.606998,58.950001,60.220001,60.220001,20632500
2023-05-30,61.040001,62.189999,59.549999,62.049999,62.049999,21356700
2023-05-31,61.840000,63.215000,61.169998,61.990002,61.990002,27790800
2023-06-01,62.410000,63.610001,61.830002,63.049999,63.049999,16686200
2023-06-02,63.740002,64.394997,63.562000,63.959999,63.959999,16423200
2023-06-05,64.070000,64.980003,63.505001,64.510002,64.510002,13498300
2023-06-06,64.430000,65.175003,64.230003,65.019997,65.019997,13039200
2023-06-07,65.250000,65.320000,63.549999,64.040001,64.040001,15511900
2023-06-08,64.199997,64.695000,63.985001,64.239998,64.239998,13568500
2023-06-09,64.000000,64.059998,62.430000,63.490002,63.490002,17140800
2023-06-12,63.599998,64.260002,63.119999,63.730000,63.730000,15945400
2023-06-13,63.549999,64.239998,63.130001,63.560001,63.560001,19963400
2023-06-14,64.139999,65.099998,63.025002,63.599998,63.599998,24028100
2023-06-15,63.119999,66.209999,62.630001,65.849998,65.849998,21527700
2023-06-16,65.949997,67.150002,65.220001,66.430000,66.430000,29690500
2023-06-20,67.129997,69.199997,66.779999,68.889999,68.889999,31379200
2023-06-21,68.945000,69.019997,67.220001,68.190002,68.190002,23910600
2023-06-22,67.519997,68.644997,67.059998,68.570000,68.570000,16872500
2023-06-23,67.415001,68.160004,65.849998,66.940002,66.940002,27616200
2023-06-26,66.870003,67.580002,66.410004,66.440002,66.440002,12224400
2023-06-27,66.870003,67.099998,65.779999,66.230003,66.230003,16371200
2023-06-28,66.050003,66.480003,65.620003,66.029999,66.029999,15390600
2023-06-29,66.300003,67.339996,65.620003,65.860001,65.860001,14894200
2023-06-30,66.089996,66.974998,65.750000,66.730003,66.730003,16894000
2023-07-03,67.120003,68.629997,66.839996,68.099998,68.099998,8617900
2023-07-05,68.040001,68.900002,67.000000,68.849998,68.849998,13980600
2023-07-06,67.709999,67.849998,65.629997,66.139999,66.139999,17447500
2023-07-07,66.190002,67.660004,65.980003,66.790001,66.790001,12313900
2023-07-10,66.800003,69.360001,66.690002,69.279999,69.279999,14872000
2023-07-11,69.639999,70.730003,69.410004,70.620003,70.620003,14799000
2023-07-12,71.720001,71.870003,70.279999,70.589996,70.589996,14458500
2023-07-13,71.370003,72.735001,71.000000,72.389999,72.389999,14536300
2023-07-14,72.660004,72.980003,71.919998,72.099998,72.099998,12192500
2023-07-17,72.519997,73.779999,71.959999,73.489998,73.489998,13168800
2023-07-18,73.480003,74.410004,73.260002,74.370003,74.370003,11915000
2023-07-19,74.470001,75.040001,73.900002,74.220001,74.220001,12167200
2023-07-20,72.820000,74.680000,72.800003,73.019997,73.019997,14221100
2023-07-21,72.730003,73.620003,71.830002,72.989998,72.989998,25508500
2023-07-24,73.040001,73.970001,73.014999,73.690002,73.690002,8845400
2023-07-25,73.680000,74.300003,72.940002,72.959999,72.959999,8536000
2023-07-26,72.889999,73.760002,72.410004,73.430000,73.430000,11332500
2023-07-27,74.330002,75.055000,71.809998,72.029999,72.029999,11836600
2023-07-28,73.040001,74.190002,72.959999,73.980003,73.980003,10182300
2023-07-31,74.900002,76.540001,74.739998,75.820000,75.820000,15661100
2023-08-01,76.190002,76.279999,74.559998,75.529999,75.529999,14608700
2023-08-02,74.379997,74.989998,72.500000,73.199997,73.199997,24567800
2023-08-03,66.699997,66.930000,64.099998,64.180000,64.180000,51260800
2023-08-04,64.800003,64.970001,62.659000,62.750000,62.750000,25230100
2023-08-07,63.020000,64.750000,62.200001,64.419998,64.419998,23738000
2023-08-08,63.770000,63.990002,62.490002,63.189999,63.189999,17683700
