Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,185.979996,186.910004,184.750000,186.100006,184.990265,1015200
2023-03-22,186.229996,187.169998,182.899994,182.940002,181.849106,881500
2023-03-23,182.910004,184.119995,181.009995,181.820007,180.735794,1033600
2023-03-24,182.059998,187.080002,181.199997,186.690002,185.576736,1002800
2023-03-27,187.039993,188.669998,185.039993,185.240005,184.135422,828700
2023-03-28,184.539993,187.940002,184.039993,187.690002,186.570801,877000
2023-03-29,188.919998,190.820007,188.919998,190.250000,189.115524,1180300
2023-03-30,191.000000,191.899994,190.059998,190.960007,189.821289,1072200
2023-03-31,191.919998,194.009995,190.899994,191.860001,190.715927,1394400
2023-04-03,190.240005,192.080002,189.229996,191.580002,190.437607,783400
2023-04-04,191.110001,192.720001,189.970001,190.589996,189.453476,677600
2023-04-05,190.500000,193.339996,190.500000,191.460007,190.318329,806500
2023-04-06,191.220001,191.270004,189.550003,190.419998,189.284515,859000
2023-04-10,188.800003,190.479996,186.960007,190.259995,189.125458,522300
2023-04-11,190.509995,191.990005,190.460007,191.449997,190.308365,608300
2023-04-12,192.399994,193.809998,191.289993,192.169998,191.024063,526900
2023-04-13,192.889999,194.729996,191.759995,194.610001,193.449524,651100
2023-04-14,193.809998,194.809998,191.419998,191.860001,190.715927,1033500
2023-04-17,192.399994,193.279999,190.289993,192.169998,191.024063,842600
2023-04-18,193.080002,193.729996,191.899994,193.139999,191.988297,928100
2023-04-19,192.250000,193.339996,191.940002,192.820007,191.670212,599800
2023-04-20,192.000000,195.949997,191.990005,194.559998,193.399811,809300
2023-04-21,195.070007,197.539993,194.850006,196.789993,195.616531,941600
2023-04-24,196.009995,197.449997,195.250000,195.800003,194.632431,664700
2023-04-25,195.259995,195.789993,192.300003,192.710007,191.560852,671600
2023-04-26,190.740005,192.470001,189.679993,190.220001,189.085693,661200
2023-04-27,190.860001,192.779999,189.139999,192.100006,190.954498,939600
2023-04-28,193.000000,194.580002,192.580002,194.110001,192.952515,867800
2023-05-01,193.309998,194.029999,192.139999,192.570007,191.421692,845700
2023-05-02,191.470001,191.470001,187.860001,188.979996,187.853104,1120900
2023-05-03,200.000000,206.630005,198.399994,203.970001,202.753708,2300600
2023-05-04,208.929993,210.860001,205.699997,205.759995,204.533035,1318700
2023-05-05,206.380005,211.929993,206.380005,210.880005,209.622513,1233800
2023-05-08,211.559998,212.259995,209.360001,210.119995,208.867035,796800
2023-05-09,210.380005,212.610001,209.020004,211.399994,210.139404,700500
2023-05-10,214.250000,216.419998,213.820007,214.470001,213.191101,1118400
2023-05-11,214.509995,216.600006,213.820007,215.330002,214.045959,1218000
2023-05-12,215.860001,216.539993,214.289993,215.009995,213.727890,976300
2023-05-15,214.990005,215.220001,212.899994,214.990005,213.707993,911200
2023-05-16,214.990005,218.600006,213.649994,218.110001,216.809387,962000
2023-05-17,219.660004,220.490005,217.979996,219.119995,217.813370,1087000
2023-05-18,217.300003,221.000000,217.300003,220.630005,219.314377,790900
