Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,191.649994,192.250000,188.399994,190.699997,190.699997,1912200
2023-03-22,190.250000,190.250000,184.220001,184.289993,184.289993,1843100
2023-03-23,187.699997,190.830002,186.839996,188.039993,188.039993,1542800
2023-03-24,187.119995,191.440002,186.259995,190.429993,190.429993,1335000
2023-03-27,190.520004,191.160004,185.820007,188.149994,188.149994,1676800
2023-03-28,188.300003,191.149994,187.619995,189.679993,189.679993,1651200
2023-03-29,191.710007,198.330002,190.740005,198.250000,198.250000,2983700
2023-03-30,200.000000,201.830002,199.089996,200.050003,200.050003,1840300
2023-03-31,201.000000,206.679993,200.220001,206.539993,206.539993,2578600
2023-04-03,203.289993,204.990005,201.770004,204.369995,204.369995,1749900
2023-04-04,204.669998,205.979996,202.179993,202.600006,202.600006,1193500
2023-04-05,200.529999,200.649994,193.960007,197.869995,197.869995,3367900
2023-04-06,194.949997,197.449997,188.639999,196.809998,196.809998,2373900
2023-04-10,195.179993,197.350006,194.070007,196.940002,196.940002,1254200
2023-04-11,195.990005,196.979996,192.639999,195.979996,195.979996,1495900
2023-04-12,194.919998,195.000000,188.279999,191.740005,191.740005,3435600
2023-04-13,193.330002,195.580002,192.839996,194.850006,194.850006,1822900
2023-04-14,191.889999,194.940002,191.479996,194.039993,194.039993,1468600
2023-04-17,194.649994,196.169998,193.289993,195.619995,195.619995,985300
2023-04-18,198.440002,198.440002,193.429993,193.539993,193.539993,1153900
2023-04-19,192.000000,193.889999,190.910004,192.029999,192.029999,1374700
2023-04-20,190.229996,192.690002,190.020004,191.050003,191.050003,1205200
2023-04-21,191.759995,192.089996,190.190002,190.990005,190.990005,906200
2023-04-24,192.000000,192.660004,188.589996,189.089996,189.089996,1475900
2023-04-25,187.190002,187.190002,182.830002,182.880005,182.880005,2329100
2023-04-26,185.839996,189.449997,184.199997,187.160004,187.160004,1570900
2023-04-27,188.449997,188.479996,183.880005,187.130005,187.130005,1463700
2023-04-28,185.350006,186.940002,182.979996,186.139999,186.139999,1110400
