Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,65.379997,65.690002,64.110001,64.150002,61.236607,3446200
2023-03-23,63.930000,64.629997,62.970001,63.310001,60.434757,3184600
2023-03-24,63.450001,65.570000,63.360001,65.550003,62.573025,2713100
2023-03-27,65.790001,66.050003,65.120003,65.290001,62.324837,2912900
2023-03-28,65.110001,66.070000,64.989998,65.400002,62.429840,1983000
2023-03-29,65.900002,66.610001,65.790001,66.540001,63.518070,2450000
2023-03-30,66.699997,67.110001,66.320000,66.910004,63.871269,1993900
2023-03-31,67.169998,67.980003,66.779999,67.440002,64.377197,5987700
2023-04-03,67.330002,68.110001,66.910004,67.519997,64.453552,3890600
2023-04-04,67.529999,68.500000,67.379997,68.449997,65.341316,3180400
2023-04-05,68.910004,71.290001,68.860001,71.120003,67.890068,4231500
2023-04-06,71.629997,71.959999,70.709999,71.269997,68.033249,2476200
2023-04-10,70.889999,70.980003,69.750000,70.760002,67.546417,1722400
2023-04-11,70.690002,71.320000,70.570000,71.040001,67.813690,1956300
2023-04-12,71.160004,71.570000,70.769997,71.040001,67.813690,2729000
2023-04-13,70.690002,71.120003,69.470001,71.040001,67.813690,2530100
2023-04-14,70.080002,70.370003,69.650002,70.139999,66.954559,2314600
2023-04-17,70.500000,70.860001,69.669998,70.320000,67.126389,1760100
2023-04-18,70.160004,70.500000,69.480003,69.760002,66.591827,1531900
2023-04-19,70.180000,70.750000,69.980003,70.589996,67.384132,1449900
2023-04-20,70.860001,71.169998,70.209999,70.690002,67.479591,2255600
2023-04-21,70.820000,71.260002,70.199997,70.440002,67.240952,1909400
2023-04-24,70.370003,71.209999,70.050003,71.029999,67.804153,2196500
2023-04-25,71.029999,71.320000,70.830002,71.180000,67.947334,2036100
2023-04-26,70.650002,70.970001,69.570000,69.680000,66.515465,2637600
2023-04-27,70.309998,70.410004,69.220001,70.260002,67.069122,2716400
2023-04-28,70.419998,70.720001,69.349998,69.910004,66.735023,2281200
2023-05-01,69.779999,70.599998,69.559998,70.169998,66.983208,2262400
2023-05-02,69.949997,70.110001,68.629997,69.099998,65.961800,2159400
2023-05-03,69.279999,69.610001,68.339996,68.500000,65.389061,2428700
2023-05-04,68.589996,69.559998,67.930000,69.110001,65.971359,3463900
2023-05-05,68.620003,69.589996,68.570000,69.570000,66.410461,2147900
2023-05-08,69.339996,69.849998,69.019997,69.320000,66.171806,2171000
2023-05-09,69.029999,69.239998,68.739998,69.110001,65.971359,2102800
2023-05-10,69.430000,69.709999,68.690002,69.300003,66.152718,2963100
2023-05-11,69.150002,69.410004,68.309998,68.620003,65.503609,2850100
2023-05-12,68.980003,69.389999,68.529999,68.889999,65.761337,2295800
2023-05-15,69.120003,69.139999,67.440002,67.910004,64.825851,1708600
2023-05-16,68.000000,68.080002,66.559998,66.589996,63.565792,1770200
2023-05-17,66.650002,66.760002,65.709999,66.040001,63.040775,2118000
2023-05-18,65.580002,65.900002,65.150002,65.870003,62.878494,2403900
2023-05-19,66.050003,66.500000,65.800003,65.930000,62.935768,2068500
2023-05-22,66.290001,66.519997,65.580002,65.879997,62.888035,1857400
2023-05-23,65.629997,66.400002,65.440002,65.589996,62.611202,3966300
2023-05-24,65.739998,66.150002,65.120003,65.129997,62.172096,3562000
2023-05-25,64.610001,64.709999,63.770000,64.290001,61.370251,3706100
2023-05-26,64.180000,64.379997,63.439999,64.320000,61.398888,2954000
2023-05-30,64.269997,64.739998,64.010002,64.150002,61.236607,2339800
2023-05-31,64.309998,65.470001,64.070000,65.290001,62.324837,3553600
2023-06-01,65.519997,65.580002,63.150002,63.549999,60.663857,5573200
2023-06-02,61.639999,63.590000,60.840000,63.139999,60.272480,7404200
2023-06-05,63.099998,64.559998,63.099998,63.950001,61.045692,3168700
2023-06-06,64.269997,64.440002,63.290001,63.560001,60.673401,3062900
2023-06-07,63.930000,64.610001,63.369999,64.309998,61.389336,3953800
2023-06-08,64.820000,64.820000,62.290001,64.139999,61.227058,6888200
2023-06-09,63.919998,64.029999,63.020000,63.450001,60.568405,3342600
2023-06-12,63.500000,63.619999,63.009998,63.570000,60.682945,2486400
2023-06-13,63.299999,63.520000,62.970001,63.130001,60.262932,4272600
2023-06-14,62.820000,63.570000,62.360001,62.490002,60.147430,5341900
2023-06-15,62.910000,64.720001,62.459999,64.320000,61.908829,6034500
2023-06-16,64.430000,64.739998,63.799999,63.919998,61.523819,6372600
2023-06-20,63.810001,64.000000,62.599998,63.070000,60.705685,3502800
2023-06-21,62.509998,62.919998,61.549999,62.810001,60.455437,3487300
2023-06-22,63.029999,63.209999,62.139999,62.759998,60.407303,3023200
2023-06-23,63.040001,63.110001,61.730000,62.099998,59.772045,5325300
2023-06-26,62.209999,63.049999,61.779999,62.860001,60.503563,4010800
2023-06-27,62.889999,63.029999,62.410000,62.439999,60.099304,3287600
2023-06-28,62.450001,62.509998,61.110001,61.240002,58.944286,2965400
2023-06-29,60.700001,61.570000,60.389999,61.290001,58.992413,2881900
2023-06-30,61.279999,62.259998,61.259998,62.169998,59.839420,3298700
2023-07-03,62.029999,63.020000,62.000000,62.980000,60.619057,1375000
2023-07-05,62.860001,63.970001,62.639999,63.790001,61.398697,4555300
2023-07-06,63.380001,64.029999,62.740002,63.759998,61.369820,5359700
2023-07-07,63.299999,63.430000,62.869999,62.930000,60.570938,3730900
2023-07-10,63.049999,63.439999,62.360001,62.650002,60.301434,4047400
2023-07-11,62.830002,63.150002,62.570000,63.119999,60.753807,2878800
2023-07-12,63.099998,64.250000,63.099998,63.790001,61.398697,3137700
2023-07-13,63.660000,64.349998,63.509998,64.330002,61.918457,2925000
2023-07-14,64.239998,64.589996,63.610001,64.269997,61.860699,2500500
2023-07-17,64.220001,64.220001,63.200001,63.209999,60.840435,2881600
2023-07-18,63.430000,63.860001,62.270000,63.000000,60.638309,3332500
2023-07-19,63.110001,64.180000,63.110001,63.389999,61.013695,3602400
2023-07-20,63.799999,64.730003,63.310001,64.559998,62.139828,3484200
2023-07-21,64.849998,65.389999,64.550003,65.209999,62.765469,10530000
2023-07-24,65.089996,65.480003,64.660004,65.080002,62.640331,2837200
2023-07-25,65.070000,65.360001,64.820000,64.959999,62.524834,3247000
2023-07-26,64.910004,65.620003,64.739998,65.050003,62.611462,2529800
2023-07-27,64.610001,64.769997,62.540001,62.869999,60.513184,4046300
2023-07-28,63.099998,63.849998,62.750000,62.889999,60.532429,4227300
2023-07-31,62.980000,63.299999,62.430000,62.730000,60.378429,3600500
2023-08-01,62.730000,63.209999,62.500000,62.849998,60.493931,3826700
2023-08-02,62.779999,63.240002,62.529999,62.880001,60.522812,3139800
2023-08-03,62.610001,62.779999,61.160000,61.320000,59.021290,4053200
2023-08-04,61.270000,62.009998,60.200001,60.389999,58.126152,3406500
2023-08-07,60.520000,60.669998,59.709999,59.759998,57.519764,4222100
2023-08-08,59.750000,59.799999,58.930000,59.639999,57.404266,3831600
2023-08-09,59.610001,60.320000,59.480000,59.689999,57.452389,3892800
2023-08-10,60.169998,60.340000,59.290001,59.500000,57.269512,2535700
2023-08-11,59.650002,59.930000,59.389999,59.700001,57.462017,2901100
2023-08-14,59.730000,59.750000,58.720001,59.240002,57.019268,3166100
2023-08-15,58.990002,58.990002,58.060001,58.119999,55.941246,3004000
2023-08-16,58.270000,58.700001,58.250000,58.430000,56.239624,3099300
2023-08-17,58.470001,58.889999,58.049999,58.169998,55.989368,4337500
2023-08-18,58.299999,58.660000,58.080002,58.189999,56.008621,3559900
2023-08-21,58.130001,58.349998,57.230000,57.959999,55.787239,3132200
2023-08-22,57.369999,58.090000,57.240002,57.950001,55.777618,3142600
2023-08-23,58.009998,58.049999,56.869999,57.520000,55.363739,8610700
2023-08-24,57.549999,58.060001,56.680000,57.009998,54.872856,5780900
2023-08-25,57.090000,57.840000,56.990002,57.580002,55.421490,7705600
2023-08-28,57.860001,58.150002,57.650002,57.849998,55.681370,3982200
2023-08-29,57.779999,58.340000,57.509998,57.950001,55.777618,4614900
2023-08-30,57.880001,58.240002,57.419998,57.680000,55.517742,2583500
2023-08-31,57.959999,58.080002,57.110001,57.130001,54.988365,3983700
2023-09-01,57.490002,57.529999,56.080002,56.509998,54.391602,2848100
2023-09-05,56.500000,56.520000,55.110001,55.590000,53.506092,4170400
2023-09-06,55.790001,56.360001,55.520000,56.340000,54.227974,3815400
2023-09-07,56.790001,57.130001,56.340000,56.599998,54.478226,3554900
2023-09-08,56.700001,57.169998,56.509998,57.070000,54.930607,3627800
2023-09-11,57.080002,57.650002,57.000000,57.430000,55.277111,5586300
2023-09-12,57.360001,57.509998,56.970001,57.209999,55.065357,4702400
2023-09-13,57.279999,58.380001,57.250000,58.130001,55.950874,6006000
2023-09-14,57.900002,58.750000,57.880001,58.680000,56.990059,5419600
2023-09-15,58.580002,58.990002,57.910000,57.970001,56.300507,9226000
2023-09-18,57.950001,58.259998,57.619999,57.990002,56.319927,4445300
2023-09-19,57.990002,58.810001,57.799999,58.520000,56.834663,7856000
2023-09-20,58.900002,60.230000,58.540001,59.959999,58.233192,7670600
2023-09-21,60.000000,60.299999,59.330002,59.380001,57.669899,4904800
2023-09-22,59.110001,60.200001,59.020000,59.730000,58.009815,4904300
2023-09-25,59.230000,59.560001,58.619999,59.490002,57.776733,3617800
2023-09-26,59.480000,59.480000,57.410000,57.720001,56.057709,6275500
2023-09-27,57.590000,57.709999,56.790001,57.209999,55.562389,4481200
2023-09-28,57.430000,57.599998,56.080002,56.869999,55.232182,4362200
2023-09-29,57.419998,57.790001,56.790001,57.220001,55.572105,4078900
2023-10-02,57.090000,57.090000,54.570000,55.029999,53.445171,4875400
2023-10-03,54.419998,56.040001,53.730000,55.840000,54.231846,5161400
2023-10-04,55.900002,56.689999,55.380001,56.630001,54.999096,3948700
2023-10-05,56.630001,56.730000,55.810001,56.480000,54.853416,3835400
2023-10-06,56.290001,57.680000,55.639999,57.349998,55.698360,6337200
2023-10-09,57.270000,57.740002,57.029999,57.650002,55.989719,2702100
2023-10-10,57.529999,58.169998,57.410000,58.060001,56.387917,3117900
2023-10-11,58.410000,58.889999,57.939999,58.810001,57.116314,3116400
2023-10-12,58.500000,58.779999,57.770000,58.150002,56.475319,4775600
2023-10-13,58.509998,59.349998,58.320000,58.860001,57.164871,3732700
2023-10-16,59.180000,59.939999,58.619999,59.560001,57.844715,3184700
2023-10-17,59.220001,59.770000,58.869999,59.509998,57.796150,3778800
2023-10-18,59.560001,59.880001,58.799999,59.330002,57.621342,3830700
2023-10-19,59.270000,59.959999,59.009998,59.049999,57.349403,4442300
2023-10-20,59.020000,59.410000,58.040001,58.099998,56.426758,4224800
2023-10-23,57.860001,58.619999,57.110001,58.049999,56.378201,4854200
2023-10-24,58.389999,59.310001,58.380001,59.080002,57.378540,3854000
2023-10-25,59.040001,59.669998,58.790001,59.470001,57.757309,3133100
2023-10-26,59.630001,60.560001,59.570000,59.770000,58.048668,3468000
2023-10-27,59.000000,59.959999,58.099998,58.310001,56.630714,4310600
2023-10-30,58.770000,59.090000,58.099998,58.740002,57.048332,3818400
2023-10-31,59.009998,59.400002,58.619999,59.270000,57.563065,3832300
2023-11-01,59.250000,60.830002,58.799999,60.540001,58.796494,5029500
2023-11-02,60.509998,61.570000,60.389999,61.070000,59.311230,3961300
2023-11-03,61.930000,62.020000,61.009998,61.029999,59.272377,3920600
2023-11-06,61.080002,61.230000,60.470001,60.560001,58.815914,3139700
2023-11-07,60.709999,60.709999,59.700001,59.830002,58.106941,3515300
2023-11-08,59.590000,59.689999,58.509998,59.080002,57.378540,3953300
2023-11-09,59.029999,59.389999,58.520000,58.700001,57.009480,3871700
2023-11-10,58.939999,59.259998,58.630001,59.200001,57.495079,2912100
2023-11-13,59.000000,59.310001,58.119999,58.270000,56.591866,2960500
2023-11-14,59.110001,60.500000,59.060001,60.299999,58.563400,4250000
2023-11-15,60.189999,60.759998,59.869999,60.090000,58.359451,3439500
2023-11-16,60.709999,60.980000,60.250000,60.700001,58.951885,3970800
2023-11-17,61.009998,61.009998,60.340000,60.560001,58.815914,4327900
2023-11-20,60.230000,60.250000,59.279999,60.060001,58.330315,6312100
2023-11-21,60.240002,60.299999,59.580002,60.020000,58.291470,4139200
2023-11-22,60.220001,60.470001,59.770000,60.430000,58.689659,4060400
2023-11-24,60.570000,60.590000,60.040001,60.520000,58.777069,1357700
2023-11-27,60.580002,60.759998,59.869999,60.450001,58.709084,2834500
2023-11-28,60.590000,61.439999,60.330002,60.970001,59.214108,3667100
2023-11-29,61.040001,61.150002,59.799999,60.000000,58.272038,4314000
2023-11-30,60.150002,60.930000,59.939999,60.840000,59.087849,4797100
2023-12-01,60.939999,61.490002,60.520000,61.430000,59.660858,2917700
2023-12-04,61.049999,61.790001,60.840000,61.470001,59.699707,3606900
2023-12-05,61.619999,61.709999,60.860001,61.029999,59.272377,3110400
2023-12-06,61.240002,61.990002,61.000000,61.970001,60.185310,3779800
2023-12-07,62.029999,62.279999,61.459999,61.549999,59.777401,3749600
2023-12-08,61.410000,61.590000,60.419998,60.910000,59.155838,4343700
2023-12-11,60.959999,61.610001,60.509998,61.549999,59.777401,4332500
2023-12-12,61.790001,61.810001,60.950001,61.160000,59.398636,3289900
2023-12-13,61.240002,63.330002,60.820000,63.330002,61.506142,6787200
2023-12-14,63.709999,63.869999,62.400002,62.570000,60.768024,7975200
2023-12-15,62.320000,62.360001,61.169998,61.580002,59.806541,10785700
2023-12-18,61.869999,62.570000,61.560001,62.349998,60.554363,6632200
2023-12-19,62.570000,62.599998,61.580002,62.119999,60.330986,6398800
2023-12-20,62.209999,62.450001,61.310001,61.310001,59.544312,4264500
2023-12-21,61.310001,61.880001,61.000000,61.529999,59.757980,2807700
2023-12-22,61.980000,62.430000,61.810001,62.060001,60.272720,2429300
2023-12-26,61.980000,62.509998,61.970001,62.250000,60.457241,2147500
2023-12-27,61.730000,61.799999,61.369999,61.540001,60.271160,2865900
2023-12-28,61.520000,62.020000,61.410000,61.889999,60.613945,2421900
2023-12-29,61.689999,61.950001,61.419998,61.910000,60.633530,2813300
2024-01-02,61.830002,63.500000,61.709999,63.470001,62.161369,4627600
2024-01-03,63.740002,63.930000,63.119999,63.580002,62.269100,4538600
2024-01-04,63.619999,64.250000,63.220001,63.730000,62.416008,3129300
2024-01-05,63.529999,63.959999,63.070000,63.730000,62.416008,3531000
2024-01-08,63.650002,63.700001,63.209999,63.580002,62.269100,3738900
2024-01-09,63.470001,63.470001,62.939999,63.270000,61.965492,3510800
2024-01-10,63.209999,63.220001,62.450001,62.720001,61.426834,3341200
2024-01-11,62.230000,62.340000,60.939999,61.000000,59.742294,3825900
2024-01-12,61.349998,61.660000,61.060001,61.310001,60.045902,2753600
2024-01-16,61.150002,61.349998,60.619999,60.910000,59.654152,4354400
2024-01-17,60.410000,61.000000,59.689999,60.090000,58.851059,4019600
2024-01-18,59.730000,59.990002,59.290001,59.650002,58.420132,4447800
2024-01-19,59.669998,59.910000,59.180000,59.480000,58.253632,3582400
2024-01-22,59.580002,59.939999,58.660000,58.930000,57.714973,3858700
2024-01-23,59.009998,59.349998,58.750000,59.189999,57.969612,4648400
2024-01-24,59.520000,59.759998,58.130001,58.220001,57.019615,6092700
2024-01-25,59.000000,59.259998,57.730000,58.889999,57.675800,6470000
2024-01-26,58.900002,59.610001,58.900002,59.389999,58.165489,4038900
2024-01-29,59.520000,60.119999,59.290001,59.660000,58.429920,4798800
2024-01-30,59.509998,60.180000,59.080002,59.759998,58.527859,3782900
2024-01-31,60.209999,60.669998,59.340000,59.869999,58.635590,13842700
2024-02-01,59.660000,61.150002,59.119999,61.139999,59.879410,5303200
2024-02-02,60.669998,60.680000,59.259998,59.820000,58.586624,3901800
2024-02-05,59.060001,59.290001,58.459999,58.520000,57.313427,3177000
2024-02-06,58.389999,58.790001,58.180000,58.439999,57.235077,2918500
2024-02-07,58.720001,58.730000,58.139999,58.369999,57.166519,2621200
2024-02-08,58.230000,58.230000,57.410000,58.000000,56.804150,2570900
2024-02-09,57.900002,58.200001,57.669998,58.169998,56.970642,2732700
2024-02-12,58.200001,59.099998,58.020000,58.970001,57.754150,2691100
2024-02-13,58.980000,59.200001,57.230000,58.279999,57.078377,3253400
2024-02-14,58.279999,58.759998,57.820000,58.680000,57.470127,3965900
2024-02-15,58.880001,59.669998,58.750000,59.009998,57.793324,3571400
2024-02-16,59.000000,59.270000,58.570000,59.070000,57.852089,2476100
2024-02-20,59.110001,59.849998,58.950001,59.189999,57.969612,2895100
2024-02-21,59.730000,60.169998,59.380001,59.810001,58.576832,3579100
2024-02-22,59.189999,59.509998,58.549999,59.330002,58.106731,3251200
2024-02-23,59.299999,60.029999,59.090000,59.330002,58.106731,2415400
2024-02-26,59.270000,59.270000,58.020000,58.049999,56.853119,2418900
2024-02-27,58.139999,58.590000,58.009998,58.279999,57.078377,5752600
2024-02-28,58.189999,58.250000,57.500000,57.669998,56.480949,6761900
2024-02-29,57.349998,57.389999,52.099998,52.689999,51.603630,22782200
2024-03-01,51.660000,51.660000,48.980000,49.570000,48.547962,19038400
2024-03-04,49.040001,51.209999,48.520000,51.060001,50.007240,10184200
2024-03-05,51.139999,51.630001,48.310001,48.650002,47.646931,12549200
2024-03-06,49.279999,50.020000,46.790001,48.439999,47.441257,14401900
2024-03-07,48.970001,50.790001,48.689999,50.040001,49.008270,17186900
2024-03-08,50.080002,51.400002,49.889999,51.020000,49.968063,8848600
2024-03-11,52.770000,53.299999,52.130001,52.910000,51.819096,9838100
2024-03-12,52.630001,53.000000,51.639999,51.900002,50.829922,8809700
2024-03-13,52.060001,52.450001,51.419998,51.500000,50.438164,5420000
2024-03-14,50.779999,51.900002,50.759998,51.880001,51.356812,11860000
2024-03-15,51.759998,52.240002,51.570000,51.990002,51.465702,11153200
2024-03-18,51.650002,52.419998,51.369999,52.040001,51.515198,7217700
2024-03-19,51.950001,52.990002,51.950001,52.430000,51.901264,5656800
2024-03-20,52.139999,52.730000,52.029999,52.580002,52.049751,4547200
2024-03-21,52.720001,53.130001,52.279999,52.299999,51.772572,3854100
2024-03-22,52.500000,52.709999,52.040001,52.270000,51.742878,3312600
2024-03-25,52.610001,52.730000,52.250000,52.480000,51.950760,3022700
2024-03-26,52.490002,52.650002,51.580002,51.799999,51.277615,3498400
2024-03-27,52.209999,53.400002,52.180000,53.380001,52.841682,3691700
2024-03-28,53.459999,53.889999,53.389999,53.750000,53.207951,3556400
2024-04-01,53.689999,53.740002,53.009998,53.279999,52.742691,4266600
2024-04-02,53.279999,54.169998,53.139999,54.080002,53.534626,4561600
2024-04-03,53.860001,54.119999,53.279999,54.090000,53.544521,4122600
2024-04-04,54.779999,54.959999,53.450001,53.770000,53.227749,7021900
2024-04-05,53.529999,53.770000,52.959999,53.529999,52.990170,4483900
2024-04-08,53.639999,54.160000,53.570000,54.080002,53.534626,4473400
2024-04-09,54.450001,54.580002,54.040001,54.369999,53.821697,2331400
2024-04-10,53.389999,53.889999,52.869999,53.750000,53.207951,3263900
2024-04-11,54.090000,54.200001,53.169998,53.490002,52.950573,2631000
2024-04-12,53.730000,53.900002,52.840000,53.169998,52.633797,3010400
2024-04-15,53.330002,53.720001,52.830002,53.169998,52.633797,3826500
2024-04-16,53.040001,53.090000,52.169998,52.529999,52.000252,3849800
2024-04-17,53.009998,53.360001,52.439999,53.189999,52.653599,3926400
2024-04-18,53.660000,53.970001,53.099998,53.759998,53.217850,3087000
2024-04-19,53.869999,55.000000,53.840000,54.720001,54.168171,4477700
2024-04-22,54.840000,55.209999,54.470001,54.959999,54.405746,3996100
2024-04-23,54.680000,55.490002,54.680000,55.270000,54.712624,4432100
2024-04-24,54.310001,55.639999,54.150002,55.330002,54.772018,4614400
2024-04-25,55.509998,55.689999,54.349998,55.009998,54.455242,6717500
2024-04-26,54.580002,54.680000,53.709999,53.959999,53.415833,6451700
2024-04-29,54.270000,54.840000,54.189999,54.480000,53.930588,3884600
2024-04-30,53.950001,54.240002,53.570000,53.730000,53.188152,6805600
2024-05-01,53.220001,54.200001,52.849998,53.779999,53.237648,4589600
2024-05-02,53.840000,54.340000,53.389999,53.790001,53.247547,3910500
2024-05-03,53.849998,54.279999,53.549999,54.250000,53.702908,3285100
2024-05-06,54.419998,54.430000,53.369999,54.360001,53.811802,4816700
2024-05-07,54.639999,55.090000,54.040001,55.020000,54.465145,4676300
2024-05-08,55.110001,55.320000,54.570000,54.930000,54.376053,3123300
2024-05-09,54.930000,55.470001,54.639999,55.240002,54.682926,4374700
2024-05-10,55.500000,55.770000,55.130001,55.459999,54.900707,2433000
2024-05-13,55.799999,56.450001,55.599998,55.830002,55.266975,4508300
2024-05-14,56.110001,56.380001,55.340000,55.560001,54.999699,2693900
2024-05-15,56.320000,56.340000,55.730000,55.790001,55.227379,2278400
2024-05-16,55.840000,56.380001,55.599998,55.849998,55.286774,2483500
2024-05-17,55.650002,55.840000,55.330002,55.520000,54.960102,4092800
2024-05-20,55.759998,56.099998,55.360001,56.070000,55.504555,3694200
2024-05-21,56.279999,56.790001,56.080002,56.740002,56.167801,2974300
2024-05-22,56.439999,56.570000,55.330002,55.520000,54.960102,4231100
2024-05-23,55.090000,55.090000,54.020000,54.049999,53.504925,3074900
2024-05-24,54.060001,54.189999,53.650002,53.720001,53.178253,2016200
2024-05-28,53.930000,54.669998,53.580002,53.740002,53.198055,2561500
2024-05-29,53.200001,53.549999,53.029999,53.299999,52.762489,3238100
2024-05-30,53.459999,54.439999,53.250000,54.320000,53.772202,3206500
2024-05-31,54.459999,55.520000,54.259998,55.450001,54.890808,11067800
2024-06-03,55.320000,55.630001,54.849998,55.279999,54.722519,3195100
2024-06-04,54.980000,56.540001,54.980000,56.029999,55.464958,3460000
2024-06-05,55.869999,56.040001,55.110001,55.160000,54.603733,2474900
2024-06-06,55.000000,55.619999,54.669998,54.820000,54.267159,2395000
2024-06-07,54.209999,54.930000,53.860001,54.740002,54.187969,3824500
2024-06-10,54.779999,55.520000,54.490002,55.240002,54.682926,4067900
2024-06-11,54.619999,55.299999,54.340000,55.040001,54.484943,3273600
2024-06-12,55.419998,55.450001,54.439999,54.770000,54.217667,3006100
2024-06-13,54.599998,55.000000,53.830002,54.340000,53.792000,3339800
2024-06-14,53.639999,53.959999,53.400002,53.770000,53.770000,2400600
2024-06-17,53.340000,53.730000,53.099998,53.240002,53.240002,2255900
2024-06-18,53.040001,53.369999,52.680000,53.119999,53.119999,4269000
2024-06-20,53.000000,53.599998,52.869999,53.529999,53.529999,3028100
2024-06-21,53.779999,54.150002,53.200001,53.369999,53.369999,6889800
2024-06-24,53.610001,54.330002,53.320000,53.980000,53.980000,2705300
2024-06-25,53.880001,53.950001,53.360001,53.740002,53.740002,2312100
2024-06-26,53.560001,53.869999,53.119999,53.790001,53.790001,2662900
2024-06-27,53.840000,54.150002,53.459999,53.849998,53.849998,2470800
2024-06-28,53.869999,53.930000,53.040001,53.410000,53.410000,3726700
2024-07-01,53.540001,53.790001,52.299999,52.430000,52.430000,2158400
2024-07-02,52.669998,53.279999,52.480000,53.200001,53.200001,2661000
2024-07-03,53.070000,53.389999,52.709999,52.750000,52.750000,1178300
2024-07-05,52.759998,53.049999,52.340000,52.689999,52.689999,1653000
2024-07-08,52.490002,52.700001,52.029999,52.110001,52.110001,2245000
2024-07-09,52.169998,52.630001,51.970001,52.470001,52.470001,2240400
2024-07-10,52.549999,52.730000,52.090000,52.590000,52.590000,2129100
2024-07-11,52.799999,54.570000,52.639999,54.080002,54.080002,3535700
2024-07-12,54.259998,54.779999,53.759998,54.279999,54.279999,2353800
2024-07-15,53.669998,53.730000,52.970001,53.230000,53.230000,2219600
2024-07-16,53.570000,53.959999,53.369999,53.930000,53.930000,2377700
2024-07-17,54.310001,55.820000,54.259998,55.320000,55.320000,3242100
2024-07-18,55.000000,56.110001,54.970001,55.779999,55.779999,3023900
2024-07-19,55.799999,56.090000,55.029999,55.939999,55.939999,3043900
2024-07-22,56.189999,56.389999,55.610001,55.740002,55.740002,2545100
2024-07-23,55.610001,55.720001,55.020000,55.139999,55.139999,2164900
2024-07-24,55.669998,56.400002,55.360001,56.360001,56.360001,2907500
2024-07-25,57.119999,58.430000,56.419998,56.869999,56.869999,4932500
2024-07-26,57.299999,57.669998,57.099998,57.360001,57.360001,3434900
2024-07-29,57.590000,57.970001,57.220001,57.689999,57.689999,1995600
2024-07-30,57.520000,58.730000,57.509998,58.630001,58.630001,2498000
